"md_id","accept_src_name","accept_src_cd","busi_time","total_num"
1,电话,"0100","2022-05-01",53
2,来信,"0200","2022-05-01",63
3,网站,"0300","2022-05-01",16
4,小程序/公众号,"0400","2022-05-01",755
5,电话,"0100","2022-05-02",161
6,来信,"0200","2022-05-02",135
7,网站,"0300","2022-05-02",196
8,小程序/公众号,"0400","2022-05-02",199
9,电话,"0100","2022-05-03",87
10,来信,"0200","2022-05-03",56
11,网站,"0300","2022-05-03",82
12,小程序/公众号,"0400","2022-05-03",705
13,电话,"0100","2022-05-04",67
14,来信,"0200","2022-05-04",48
15,网站,"0300","2022-05-04",211
16,小程序/公众号,"0400","2022-05-04",496
17,电话,"0100","2022-05-05",95
18,来信,"0200","2022-05-05",96
19,网站,"0300","2022-05-05",39
20,小程序/公众号,"0400","2022-05-05",322
21,电话,"0100","2022-05-06",136
22,来信,"0200","2022-05-06",75
23,网站,"0300","2022-05-06",134
24,小程序/公众号,"0400","2022-05-06",346
25,电话,"0100","2022-05-07",19
26,来信,"0200","2022-05-07",30
27,网站,"0300","2022-05-07",285
28,小程序/公众号,"0400","2022-05-07",659
29,电话,"0100","2022-05-08",105
30,来信,"0200","2022-05-08",154
31,网站,"0300","2022-05-08",232
32,小程序/公众号,"0400","2022-05-08",310
33,电话,"0100","2022-05-09",99
34,来信,"0200","2022-05-09",144
35,网站,"0300","2022-05-09",115
36,小程序/公众号,"0400","2022-05-09",250
37,电话,"0100","2022-05-10",37
38,来信,"0200","2022-05-10",146
39,网站,"0300","2022-05-10",159
40,小程序/公众号,"0400","2022-05-10",294
41,电话,"0100","2022-05-11",91
42,来信,"0200","2022-05-11",48
43,网站,"0300","2022-05-11",19
44,小程序/公众号,"0400","2022-05-11",496
45,电话,"0100","2022-05-12",50
46,来信,"0200","2022-05-12",167
47,网站,"0300","2022-05-12",185
48,小程序/公众号,"0400","2022-05-12",370
49,电话,"0100","2022-05-13",62
50,来信,"0200","2022-05-13",65
51,网站,"0300","2022-05-13",14
52,小程序/公众号,"0400","2022-05-13",219
53,电话,"0100","2022-05-14",104
54,来信,"0200","2022-05-14",64
55,网站,"0300","2022-05-14",12
56,小程序/公众号,"0400","2022-05-14",405
57,电话,"0100","2022-05-15",46
58,来信,"0200","2022-05-15",95
59,网站,"0300","2022-05-15",35
60,小程序/公众号,"0400","2022-05-15",189
61,电话,"0100","2022-05-16",13
62,来信,"0200","2022-05-16",46
63,网站,"0300","2022-05-16",306
64,小程序/公众号,"0400","2022-05-16",336
65,电话,"0100","2022-05-17",76
66,来信,"0200","2022-05-17",12
