"md_id","area_name","busi_time","total_num"
1,C区,"2022-05-01",33
2,D区,"2022-05-01",108
3,B区,"2022-05-01",39
4,E区,"2022-05-01",67
5,A区,"2022-05-01",640
6,C区,"2022-05-02",130
7,D区,"2022-05-02",103
8,B区,"2022-05-02",80
9,E区,"2022-05-02",142
10,A区,"2022-05-02",236
11,C区,"2022-05-03",63
12,D区,"2022-05-03",13
13,B区,"2022-05-03",276
14,E区,"2022-05-03",254
15,A区,"2022-05-03",324
16,C区,"2022-05-04",30
17,D区,"2022-05-04",15
18,B区,"2022-05-04",75
19,E区,"2022-05-04",84
20,A区,"2022-05-04",618
21,C区,"2022-05-05",74
22,D区,"2022-05-05",12
23,B区,"2022-05-05",103
24,E区,"2022-05-05",59
25,A区,"2022-05-05",304
26,C区,"2022-05-06",20
27,D区,"2022-05-06",104
28,B区,"2022-05-06",67
29,E区,"2022-05-06",84
30,A区,"2022-05-06",416
31,C区,"2022-05-07",99
32,D区,"2022-05-07",180
33,B区,"2022-05-07",225
34,E区,"2022-05-07",100
35,A区,"2022-05-07",389
36,C区,"2022-05-08",33
37,D区,"2022-05-08",22
38,B区,"2022-05-08",150
39,E区,"2022-05-08",107
40,A区,"2022-05-08",489
41,C区,"2022-05-09",24
42,D区,"2022-05-09",37
43,B区,"2022-05-09",38
44,E区,"2022-05-09",162
45,A区,"2022-05-09",347
46,C区,"2022-05-10",53
47,D区,"2022-05-10",68
48,B区,"2022-05-10",11
49,E区,"2022-05-10",67
50,A区,"2022-05-10",437
51,C区,"2022-05-11",42
52,D区,"2022-05-11",93
53,B区,"2022-05-11",118
54,E区,"2022-05-11",69
55,A区,"2022-05-11",332
56,C区,"2022-05-12",62
57,D区,"2022-05-12",84
58,B区,"2022-05-12",40
59,E区,"2022-05-12",94
60,A区,"2022-05-12",492
61,C区,"2022-05-13",15
62,D区,"2022-05-13",15
63,B区,"2022-05-13",91
64,E区,"2022-05-13",47
65,A区,"2022-05-13",192
66,C区,"2022-05-14",57
67,D区,"2022-05-14",72
68,B区,"2022-05-14",51
69,E区,"2022-05-14",36
70,A区,"2022-05-14",369
71,C区,"2022-05-15",29
72,D区,"2022-05-15",50
73,B区,"2022-05-15",34
74,E区,"2022-05-15",57
75,A区,"2022-05-15",195
76,C区,"2022-05-16",15
77,D区,"2022-05-16",32
78,B区,"2022-05-16",56
79,E区,"2022-05-16",211
80,A区,"2022-05-16",387
81,C区,"2022-05-17",109
82,D区,"2022-05-17",85
83,B区,"2022-05-17",51
84,E区,"2022-05-17",102
85,A区,"2022-05-17",210
86,C区,"2022-05-18",57
87,D区,"2022-05-18",106
88,B区,"2022-05-18",166
89,E区,"2022-05-18",236
90,A区,"2022-05-18",294
91,C区,"2022-05-19",116
92,D区,"2022-05-19",163
93,B区,"2022-05-19",119
94,E区,"2022-05-19",226
95,A区,"2022-05-19",284
96,C区,"2022-05-20",34
97,D区,"2022-05-20",37
98,B区,"2022-05-20",34
99,E区,"2022-05-20",126
100,A区,"2022-05-20",154
101,C区,"2022-05-21",19
102,D区,"2022-05-21",67
103,B区,"2022-05-21",70
104,E区,"2022-05-21",66
105,A区,"2022-05-21",153
106,C区,"2022-05-22",69
107,D区,"2022-05-22",36
108,B区,"2022-05-22",55
109,E区,"2022-05-22",106
110,A区,"2022-05-22",153
111,C区,"2022-05-23",157
112,D区,"2022-05-23",82
113,B区,"2022-05-23",146
114,E区,"2022-05-23",179
115,A区,"2022-05-23",287
116,C区,"2022-05-24",46
117,D区,"2022-05-24",90
118,B区,"2022-05-24",49
119,E区,"2022-05-24",181
120,A区,"2022-05-24",557
121,C区,"2022-05-25",107
122,D区,"2022-05-25",177
123,B区,"2022-05-25",166
124,E区,"2022-05-25",145
125,A区,"2022-05-25",383
126,C区,"2022-05-26",158
127,D区,"2022-05-26",57
128,B区,"2022-05-26",70
129,E区,"2022-05-26",73
130,A区,"2022-05-26",597
131,C区,"2022-05-27",132
132,D区,"2022-05-27",18
133,B区,"2022-05-27",236
134,E区,"2022-05-27",180
135,A区,"2022-05-27",344
136,C区,"2022-05-28",179
137,D区,"2022-05-28",115
138,B区,"2022-05-28",156
139,E区,"2022-05-28",19
140,A区,"2022-05-28",434
141,C区,"2022-05-29",14
142,D区,"2022-05-29",73
143,B区,"2022-05-29",31
144,E区,"2022-05-29",51
145,A区,"2022-05-29",430
146,C区,"2022-05-30",42
147,D区,"2022-05-30",18
148,B区,"2022-05-30",81
149,E区,"2022-05-30",52
150,A区,"2022-05-30",153
151,C区,"2022-05-31",25
152,D区,"2022-05-31",68
153,B区,"2022-05-31",36
154,E区,"2022-05-31",20
155,A区,"2022-05-31",385
156,C区,"2022-06-01",143
157,D区,"2022-06-01",175
158,B区,"2022-06-01",36
159,E区,"2022-06-01",265
160,A区,"2022-06-01",339
161,C区,"2022-06-02",32
162,D区,"2022-06-02",72
163,B区,"2022-06-02",17
164,E区,"2022-06-02",29
165,A区,"2022-06-02",445
166,C区,"2022-06-03",61
167,D区,"2022-06-03",56
168,B区,"2022-06-03",59
169,E区,"2022-06-03",80
170,A区,"2022-06-03",80
171,C区,"2022-06-04",58
172,D区,"2022-06-04",83
173,B区,"2022-06-04",55
174,E区,"2022-06-04",41
175,A区,"2022-06-04",215
176,C区,"2022-06-05",170
177,D区,"2022-06-05",104
178,B区,"2022-06-05",99
179,E区,"2022-06-05",62
180,A区,"2022-06-05",491
181,C区,"2022-06-06",10
182,D区,"2022-06-06",210
183,B区,"2022-06-06",207
184,E区,"2022-06-06",75
185,A区,"2022-06-06",396
186,C区,"2022-06-07",49
187,D区,"2022-06-07",26
188,B区,"2022-06-07",77
189,E区,"2022-06-07",58
190,A区,"2022-06-07",102
191,C区,"2022-06-08",129
192,D区,"2022-06-08",120
193,B区,"2022-06-08",158
194,E区,"2022-06-08",183
195,A区,"2022-06-08",256
196,C区,"2022-06-09",78
197,D区,"2022-06-09",107
198,B区,"2022-06-09",97
199,E区,"2022-06-09",49
200,A区,"2022-06-09",254
201,C区,"2022-06-10",61
202,D区,"2022-06-10",80
203,B区,"2022-06-10",43
204,E区,"2022-06-10",39
205,A区,"2022-06-10",208
206,C区,"2022-06-11",94
207,D区,"2022-06-11",102
208,B区,"2022-06-11",124
209,E区,"2022-06-11",133
210,A区,"2022-06-11",202
211,C区,"2022-06-12",91
212,D区,"2022-06-12",108
213,B区,"2022-06-12",40
214,E区,"2022-06-12",62
215,A区,"2022-06-12",277
216,C区,"2022-06-13",63
217,D区,"2022-06-13",38
218,B区,"2022-06-13",104
219,E区,"2022-06-13",90
220,A区,"2022-06-13",167
221,C区,"2022-06-14",27
222,D区,"2022-06-14",55
223,B区,"2022-06-14",94
224,E区,"2022-06-14",226
225,A区,"2022-06-14",412
226,C区,"2022-06-15",32
