"md_id","busi_time","dept_type","item_num","complete_num","complete_avg_time","satis_num"
1,"2022-05-01",1,256,158,816,173
2,"2022-05-01",2,695,274,812,534
3,"2022-05-02",1,614,567,1152,183
4,"2022-05-02",2,1099,1035,912,700
5,"2022-05-03",1,340,308,458,323
6,"2022-05-03",2,877,861,684,775
7,"2022-05-04",1,696,408,93,632
8,"2022-05-04",2,342,319,367,268
9,"2022-05-05",1,266,8,793,133
10,"2022-05-05",2,585,164,722,94
11,"2022-05-06",1,1194,114,225,309
12,"2022-05-06",2,388,38,638,143
13,"2022-05-07",1,252,28,205,11
14,"2022-05-07",2,964,822,1244,38
15,"2022-05-08",1,977,913,328,370
16,"2022-05-08",2,220,83,916,97
17,"2022-05-09",1,1164,484,1014,945
18,"2022-05-09",2,381,160,1155,4
19,"2022-05-10",1,1134,669,887,242
20,"2022-05-10",2,394,142,135,144
21,"2022-05-11",1,611,359,903,555
22,"2022-05-11",2,317,73,1335,23
23,"2022-05-12",1,1155,144,1223,350
24,"2022-05-12",2,213,28,200,32
25,"2022-05-13",1,326,112,518,295
26,"2022-05-13",2,809,18,893,205
27,"2022-05-14",1,615,333,1235,384
28,"2022-05-14",2,836,504,1295,19
29,"2022-05-15",1,909,909,76,117
30,"2022-05-15",2,1071,736,640,860
31,"2022-05-16",1,683,649,1032,193
32,"2022-05-16",2,989,564,239,598
33,"2022-05-17",1,638,626,906,465
34,"2022-05-17",2,252,84,351,129
35,"2022-05-18",1,398,69,1332,392
36,"2022-05-18",2,1027,195,311,1017
37,"2022-05-19",1,450,312,626,305
38,"2022-05-19",2,557,322,179,130
39,"2022-05-20",1,1160,281,337,1005
40,"2022-05-20",2,369,199,169,58
41,"2022-05-21",1,431,218,527,224
42,"2022-05-21",2,244,94,853,191
43,"2022-05-22",1,711,82,637,228
44,"2022-05-22",2,687,299,395,586
45,"2022-05-23",1,619,463,177,378
46,"2022-05-23",2,987,492,1399,579
47,"2022-05-24",1,1033,171,840,286
48,"2022-05-24",2,660,245,847,118
49,"2022-05-25",1,509,129,929,75
50,"2022-05-25",2,928,214,137,185
51,"2022-05-26",1,1140,224,926,1032
52,"2022-05-26",2,205,150,342,57
53,"2022-05-27",1,717,195,837,194
54,"2022-05-27",2,1115,859,194,396
55,"2022-05-28",1,371,52,164,117
56,"2022-05-28",2,270,264,432,170
57,"2022-05-29",1,1088,669,1384,521
58,"2022-05-29",2,811,315,1422,671
59,"2022-05-30",1,327,307,1432,112
60,"2022-05-30",2,349,124,18,318
61,"2022-05-31",1,540,18,289,3
62,"2022-05-31",2,419,220,755,80
63,"2022-06-01",1,1099,494,887,39
64,"2022-06-01",2,710,247,1006,409
65,"2022-06-02",1,1120,657,828,771
66,"2022-06-02",2,716,184,1426,207
67,"2022-06-03",1,391,366,766,141
68,"2022-06-03",2,409,33,689,208
69,"2022-06-04",1,1012,134,412,571
70,"2022-06-04",2,676,33,58,281
71,"2022-06-05",1,838,65,962,567
72,"2022-06-05",2,476,363,56,406
73,"2022-06-06",1,989,131,167,704
74,"2022-06-06",2,865,303,365,364
75,"2022-06-07",1,753,220,945,305
76,"2022-06-07",2,1098,357,1086,686
77,"2022-06-08",1,1077,344,1390,419
78,"2022-06-08",2,251,143,170,8
79,"2022-06-09",1,256,38,965,210
80,"2022-06-09",2,1072,832,892,911
81,"2022-06-10",1,1098,195,505,383
82,"2022-06-10",2,336,301,495,293
83,"2022-06-11",1,375,101,149,42
84,"2022-06-11",2,395,319,169,357
85,"2022-06-12",1,1054,216,854,683
86,"2022-06-12",2,561,530,1405,27
87,"2022-06-13",1,917,221,1338,834
88,"2022-06-13",2,745,178,627,363
89,"2022-06-14",1,560,105,865,78
90,"2022-06-14",2,692,36,654,116
91,"2022-06-15",1,583,178,1271,259
92,"2022-06-15",2,777,612,302,444
93,"2022-06-16",1,750,278,133,667
94,"2022-06-16",2,443,374,249,136
95,"2022-06-17",1,739,10,1382,455
96,"2022-06-17",2,241,70,963,72
97,"2022-06-18",1,572,197,1196,111
98,"2022-06-18",2,1001,583,448,239
99,"2022-06-19",1,504,110,355,480
100,"2022-06-19",2,790,532,45,623
101,"2022-06-20",1,1084,64,1013,569
102,"2022-06-20",2,255,112,759,75
103,"2022-06-21",1,280,61,1241,12
104,"2022-06-21",2,976,727,594,771
105,"2022-06-22",1,211,194,535,54
106,"2022-06-22",2,301,41,1084,191
107,"2022-06-23",1,1034,114,1433,322
108,"2022-06-23",2,581,123,502,255
109,"2022-06-24",1,422,337,1075,49
110,"2022-06-24",2,1014,63,1395,910
111,"2022-06-25",1,794,183,417,1
112,"2022-06-25",2,610,140,445,580
113,"2022-06-26",1,994,792,1161,467
114,"2022-06-26",2,563,307,768,429
115,"2022-06-27",1,655,102,453,539
116,"2022-06-27",2,880,848,52,30
117,"2022-06-28",1,1123,848,743,275
118,"2022-06-28",2,1115,400,903,353
119,"2022-06-29",1,387,114,1072,142
120,"2022-06-29",2,274,212,907,199
121,"2022-06-30",1,446,392,135,77
122,"2022-06-30",2,721,565,23,639
123,"2022-07-01",1,923,676,618,379
124,"2022-07-01",2,639,170,1119,386
125,"2022-07-02",1,1180,218,1014,434
126,"2022-07-02",2,804,398,1359,59
127,"2022-07-03",1,967,82,904,68
128,"2022-07-03",2,410,223,712,210
129,"2022-07-04",1,1057,669,614,1009
130,"2022-07-04",2,593,53,404,249
131,"2022-07-05",1,982,452,890,298
132,"2022-07-05",2,736,518,497,700
133,"2022-07-06",1,889,74,633,601
134,"2022-07-06",2,769,455,35,532
135,"2022-07-07",1,1161,1103,165,237
136,"2022-07-07",2,1065,893,886,894
137,"2022-07-08",1,329,172,747,126
138,"2022-07-08",2,452,125,320,99
139,"2022-07-09",1,904,498,290,215
140,"2022-07-09",2,1177,100,216,968
141,"2022-07-10",1,210,190,1357,23
142,"2022-07-10",2,951,137,384,736
