"md_id","busi_time","hand_up_type","hand_up_cnt"
1,"2022-05-01","1",59
2,"2022-05-01","2",9
3,"2022-05-01","3",111
4,"2022-05-02","1",0
5,"2022-05-02","2",5
6,"2022-05-02","3",1
7,"2022-05-03","1",34
8,"2022-05-03","2",69
9,"2022-05-03","3",83
10,"2022-05-04","1",11
11,"2022-05-04","2",59
12,"2022-05-04","3",106
13,"2022-05-05","1",8
14,"2022-05-05","2",7
15,"2022-05-05","3",1
16,"2022-05-06","1",13
17,"2022-05-06","2",6
18,"2022-05-06","3",9
19,"2022-05-07","1",187
20,"2022-05-07","2",3
21,"2022-05-07","3",36
22,"2022-05-08","1",7
23,"2022-05-08","2",88
24,"2022-05-08","3",40
25,"2022-05-09","1",122
26,"2022-05-09","2",117
27,"2022-05-09","3",75
28,"2022-05-10","1",20
29,"2022-05-10","2",72
30,"2022-05-10","3",43
31,"2022-05-11","1",336
32,"2022-05-11","2",6
33,"2022-05-11","3",9
34,"2022-05-12","1",50
35,"2022-05-12","2",2
36,"2022-05-12","3",2
37,"2022-05-13","1",16
38,"2022-05-13","2",3
39,"2022-05-13","3",0
40,"2022-05-14","1",137
41,"2022-05-14","2",1
42,"2022-05-14","3",18
43,"2022-05-15","1",100
44,"2022-05-15","2",97
45,"2022-05-15","3",28
46,"2022-05-16","1",4
47,"2022-05-16","2",162
48,"2022-05-16","3",15
49,"2022-05-17","1",2
50,"2022-05-17","2",66
51,"2022-05-17","3",26
52,"2022-05-18","1",42
53,"2022-05-18","2",64
54,"2022-05-18","3",69
55,"2022-05-19","1",7
56,"2022-05-19","2",211
57,"2022-05-19","3",33
58,"2022-05-20","1",37
59,"2022-05-20","2",0
60,"2022-05-20","3",10
61,"2022-05-21","1",17
62,"2022-05-21","2",44
63,"2022-05-21","3",83
64,"2022-05-22","1",54
65,"2022-05-22","2",96
66,"2022-05-22","3",32
67,"2022-05-23","1",8
68,"2022-05-23","2",8
69,"2022-05-23","3",3
70,"2022-05-24","1",188
71,"2022-05-24","2",1
72,"2022-05-24","3",56
73,"2022-05-25","1",267
74,"2022-05-25","2",4
75,"2022-05-25","3",1
76,"2022-05-26","1",9
77,"2022-05-26","2",86
78,"2022-05-26","3",52
79,"2022-05-27","1",45
80,"2022-05-27","2",30
81,"2022-05-27","3",32
82,"2022-05-28","1",109
83,"2022-05-28","2",3
84,"2022-05-28","3",8
85,"2022-05-29","1",153
86,"2022-05-29","2",15
87,"2022-05-29","3",36
88,"2022-05-30","1",1
89,"2022-05-30","2",14
90,"2022-05-30","3",2
91,"2022-05-31","1",457
92,"2022-05-31","2",4
93,"2022-05-31","3",3
94,"2022-06-01","1",12
95,"2022-06-01","2",32
96,"2022-06-01","3",1
97,"2022-06-02","1",94
98,"2022-06-02","2",66
99,"2022-06-02","3",29
100,"2022-06-03","1",77
101,"2022-06-03","2",0
102,"2022-06-03","3",0
103,"2022-06-04","1",49
104,"2022-06-04","2",25
105,"2022-06-04","3",60
106,"2022-06-05","1",69
107,"2022-06-05","2",29
108,"2022-06-05","3",39
109,"2022-06-06","1",6
110,"2022-06-06","2",3
