"md_id","busi_time","satisfaction_cnt","unsatisfaction_cnt","reply_on_time_cnt","call_cnt","connect_cnt"
1,"2022-05-01",17,260,149,357,179
2,"2022-05-02",103,236,18,401,6
3,"2022-05-03",52,193,211,279,186
4,"2022-05-04",105,139,310,311,176
5,"2022-05-05",27,33,4,114,16
6,"2022-05-06",102,190,211,333,28
7,"2022-05-07",106,100,282,342,226
8,"2022-05-08",19,100,180,209,135
9,"2022-05-09",59,114,16,353,314
10,"2022-05-10",136,93,313,431,135
11,"2022-05-11",127,119,224,418,351
12,"2022-05-12",59,177,2,433,54
13,"2022-05-13",117,186,236,306,19
14,"2022-05-14",21,142,6,185,156
15,"2022-05-15",33,79,17,233,225
16,"2022-05-16",200,73,438,492,181
17,"2022-05-17",51,30,23,168,94
18,"2022-05-18",13,178,35,265,175
19,"2022-05-19",74,245,56,342,251
20,"2022-05-20",96,64,205,279,47
21,"2022-05-21",52,19,55,198,144
22,"2022-05-22",8,199,27,356,182
23,"2022-05-23",28,25,50,117,19
24,"2022-05-24",188,208,73,412,245
25,"2022-05-25",106,32,241,298,272
26,"2022-05-26",4,54,143,156,147
27,"2022-05-27",139,86,105,334,107
28,"2022-05-28",4,164,86,295,120
29,"2022-05-29",72,121,165,245,204
30,"2022-05-30",13,4,13,127,17
31,"2022-05-31",149,301,383,475,464
32,"2022-06-01",50,75,66,127,45
33,"2022-06-02",79,85,197,212,189
34,"2022-06-03",65,66,69,144,77
35,"2022-06-04",91,42,129,204,134
36,"2022-06-05",56,32,230,352,137
37,"2022-06-06",81,0,55,184,14
38,"2022-06-07",39,185,3,325,254
39,"2022-06-08",32,289,269,445,422
40,"2022-06-09",165,141,46,357,46
41,"2022-06-10",23,55,52,125,99
42,"2022-06-11",92,250,94,357,42
43,"2022-06-12",72,91,25,202,103
44,"2022-06-13",97,314,189,469,105
45,"2022-06-14",8,65,105,115,108
46,"2022-06-15",94,161,108,267,201
47,"2022-06-16",22,6,194,276,270
48,"2022-06-17",3,138,66,193,79
49,"2022-06-18",215,44,115,452,334
50,"2022-06-19",132,240,359,427,297
51,"2022-06-20",44,43,116,197,71
52,"2022-06-21",77,44,91,275,35
53,"2022-06-22",193,194,235,403,292
54,"2022-06-23",80,1,111,198,68
55,"2022-06-24",19,94,38,337,173
56,"2022-06-25",88,68,64,255,95
57,"2022-06-26",20,28,33,169,57
58,"2022-06-27",67,35,44,146,108
59,"2022-06-28",111,177,134,343,51
60,"2022-06-29",122,117,199,245,225
61,"2022-06-30",29,141,65,235,137
62,"2022-07-01",186,259,76,485,48
63,"2022-07-02",175,238,467,486,228
64,"2022-07-03",24,84,7,126,40
65,"2022-07-04",143,153,131,382,275
66,"2022-07-05",5,70,104,114,45
67,"2022-07-06",191,144,381,458,354
68,"2022-07-07",60,155,213,244,158
69,"2022-07-08",190,197,410,492,263
70,"2022-07-09",23,118,168,213,34
71,"2022-07-10",103,195,119,420,302
72,"2022-07-11",15,138,56,480,215
73,"2022-07-12",39,44,132,295,284
74,"2022-07-13",96,17,31,197,127
75,"2022-07-14",75,8,235,306,21
76,"2022-07-15",31,49,105,129,100
77,"2022-07-16",112,113,242,280,4
78,"2022-07-17",107,193,66,399,387
79,"2022-07-18",43,56,25,130,109
80,"2022-07-19",25,9,184,204,70
81,"2022-07-20",151,53,150,404,335
82,"2022-07-21",92,56,89,276,141
83,"2022-07-22",26,21,45,215,85
84,"2022-07-23",13,124,157,163,160
85,"2022-07-24",15,440,305,468,129
86,"2022-07-25",67,9,232,395,294
87,"2022-07-26",19,264,58,364,124
88,"2022-07-27",8,169,15,416,333
89,"2022-07-28",9,38,148,214,163
90,"2022-07-29",20,140,44,171,80
91,"2022-07-30",78,153,55,246,245
92,"2022-07-31",164,35,66,414,57
93,"2022-08-01",74,8,199,413,283
94,"2022-08-02",87,67,16,214,21
95,"2022-08-03",178,132,263,367,157
96,"2022-08-04",71,94,14,303,99
97,"2022-08-05",63,110,93,271,0
98,"2022-08-06",111,62,171,283,152
99,"2022-08-07",17,138,134,254,119
100,"2022-08-08",72,131,44,279,33
101,"2022-08-09",80,91,37,443,430
102,"2022-08-10",134,2,141,288,39
103,"2022-08-11",87,38,41,251,65
104,"2022-08-12",175,181,271,370,191
105,"2022-08-13",40,130,114,210,4
106,"2022-08-14",6,15,107,451,48
107,"2022-08-15",48,22,23,130,44
108,"2022-08-16",54,162,177,221,204
109,"2022-08-17",40,175,162,403,332
110,"2022-08-18",39,141,36,280,144
111,"2022-08-19",159,19,374,395,92
112,"2022-08-20",142,13,51,322,41
113,"2022-08-21",29,86,70,224,158
114,"2022-08-22",25,209,235,249,1
115,"2022-08-23",38,8,6,142,103
116,"2022-08-24",156,29,5,374,327
117,"2022-08-25",95,118,61,233,170
118,"2022-08-26",131,350,127,500,353
119,"2022-08-27",68,133,270,442,65
120,"2022-08-28",96,53,36,206,187
121,"2022-08-29",184,142,50,443,97
122,"2022-08-30",44,357,57,418,124
123,"2022-08-31",11,176,136,232,129
124,"2022-09-01",232,111,180,485,159
125,"2022-09-02",111,87,294,304,50
126,"2022-09-03",137,111,41,290,77
127,"2022-09-04",16,84,41,175,129
128,"2022-09-05",33,107,27,170,0
129,"2022-09-06",123,119,344,360,221
130,"2022-09-07",38,90,113,137,114
131,"2022-09-08",69,153,102,399,383
132,"2022-09-09",60,24,146,150,20
133,"2022-09-10",32,29,75,362,68
134,"2022-09-11",77,51,40,240,196
135,"2022-09-12",134,186,175,333,292
136,"2022-09-13",96,121,187,343,112
137,"2022-09-14",20,224,258,262,213
138,"2022-09-15",3,69,159,160,14
139,"2022-09-16",4,90,21,148,17
