"md_id","busi_time","reply_total","receive_cnt","handle_cnt","hot_line_handle_cnt","reply_on_time_cnt","chan_type"
1,"2022-05-01",152,605,282,223,42.0,1
2,"2022-05-01",523,568,294,215,514.0,2
3,"2022-05-02",315,696,216,282,170.0,1
4,"2022-05-02",812,831,199,309,262.0,2
5,"2022-05-03",374,718,99,574,315.0,1
6,"2022-05-03",745,912,74,395,431.0,2
7,"2022-05-04",224,425,195,173,192.0,1
8,"2022-05-04",257,469,50,147,222.0,2
9,"2022-05-05",15,343,95,88,6.0,1
10,"2022-05-05",144,203,76,78,104.0,2
11,"2022-05-06",553,805,335,350,185.0,1
12,"2022-05-06",276,290,114,161,20.0,2
13,"2022-05-07",142,240,75,25,92.0,1
14,"2022-05-07",36,729,285,268,4.0,2
15,"2022-05-08",162,781,401,104,44.0,1
16,"2022-05-08",273,674,182,460,94.0,2
17,"2022-05-09",139,322,107,105,102.0,1
18,"2022-05-09",72,540,209,71,44.0,2
19,"2022-05-10",630,693,44,124,573.0,1
20,"2022-05-10",599,832,307,372,378.0,2
21,"2022-05-11",185,417,1,34,109.0,1
22,"2022-05-11",415,687,313,302,326.0,2
23,"2022-05-12",89,531,3,400,29.0,1
24,"2022-05-12",267,374,76,270,47.0,2
25,"2022-05-13",432,440,203,45,254.0,1
26,"2022-05-13",53,680,196,195,20.0,2
27,"2022-05-14",10,459,2,282,5.0,1
28,"2022-05-14",778,973,268,416,304.0,2
29,"2022-05-15",59,884,114,35,50.0,1
30,"2022-05-15",204,256,130,117,98.0,2
31,"2022-05-16",360,390,141,46,8.0,1
32,"2022-05-16",57,970,97,682,19.0,2
33,"2022-05-17",90,620,346,145,11.0,1
34,"2022-05-17",346,883,176,68,213.0,2
35,"2022-05-18",169,797,94,225,96.0,1
36,"2022-05-18",476,664,140,375,460.0,2
37,"2022-05-19",234,539,58,317,89.0,1
38,"2022-05-19",337,686,347,57,116.0,2
39,"2022-05-20",609,876,286,161,159.0,1
40,"2022-05-20",703,778,350,287,445.0,2
41,"2022-05-21",899,936,522,278,787.0,1
42,"2022-05-21",234,504,37,292,178.0,2
43,"2022-05-22",92,273,8,211,87.0,1
44,"2022-05-22",130,351,178,58,11.0,2
45,"2022-05-23",227,233,129,102,173.0,1
46,"2022-05-23",54,339,74,41,39.0,2
47,"2022-05-24",41,604,37,102,8.0,1
48,"2022-05-24",299,489,214,273,48.0,2
49,"2022-05-25",148,734,5,478,102.0,1
50,"2022-05-25",243,984,218,193,123.0,2
51,"2022-05-26",38,970,395,477,36.0,1
52,"2022-05-26",266,421,8,288,37.0,2
53,"2022-05-27",278,309,152,98,91.0,1
54,"2022-05-27",616,869,139,508,27.0,2
55,"2022-05-28",97,299,12,132,60.0,1
56,"2022-05-28",424,855,188,268,219.0,2
57,"2022-05-29",622,826,221,150,617.0,1
58,"2022-05-29",304,462,255,202,48.0,2
59,"2022-05-30",324,399,110,246,185.0,1
60,"2022-05-30",116,202,55,114,103.0,2
61,"2022-05-31",157,373,149,51,99.0,1
62,"2022-05-31",3,399,5,239,2.0,2
63,"2022-06-01",237,764,422,273,38.0,1
64,"2022-06-01",380,388,220,10,270.0,2
65,"2022-06-02",814,824,153,62,279.0,1
66,"2022-06-02",351,421,44,55,94.0,2
67,"2022-06-03",470,920,505,263,435.0,1
68,"2022-06-03",238,967,328,299,43.0,2
69,"2022-06-04",201,294,139,66,120.0,1
70,"2022-06-04",808,937,208,405,388.0,2
71,"2022-06-05",189,534,56,199,36.0,1
72,"2022-06-05",441,449,43,49,164.0,2
73,"2022-06-06",67,217,93,110,42.0,1
74,"2022-06-06",797,826,449,220,694.0,2
75,"2022-06-07",144,254,88,99,95.0,1
76,"2022-06-07",914,930,275,64,875.0,2
77,"2022-06-08",771,852,271,250,323.0,1
78,"2022-06-08",318,620,201,300,244.0,2
79,"2022-06-09",204,556,207,34,67.0,1
80,"2022-06-09",43,366,186,58,28.0,2
81,"2022-06-10",40,545,19,332,19.0,1
82,"2022-06-10",314,579,63,504,148.0,2
83,"2022-06-11",315,454,208,56,22.0,1
84,"2022-06-11",764,874,426,392,217.0,2
85,"2022-06-12",215,222,91,11,158.0,1
86,"2022-06-12",654,870,436,94,105.0,2
87,"2022-06-13",325,648,211,402,241.0,1
88,"2022-06-13",356,453,55,155,107.0,2
89,"2022-06-14",537,587,321,31,228.0,1
90,"2022-06-14",286,339,104,18,148.0,2
91,"2022-06-15",155,542,83,219,120.0,1
92,"2022-06-15",203,236,35,130,79.0,2
93,"2022-06-16",443,878,171,458,292.0,1
94,"2022-06-16",418,649,330,233,76.0,2
95,"2022-06-17",268,933,70,278,51.0,1
96,"2022-06-17",135,995,142,24,90.0,2
97,"2022-06-18",369,541,291,38,72.0,1
98,"2022-06-18",328,595,291,71,124.0,2
99,"2022-06-19",511,643,111,424,465.0,1
100,"2022-06-19",387,460,256,165,365.0,2
101,"2022-06-20",52,561,176,356,19.0,1
102,"2022-06-20",51,296,100,161,34.0,2
103,"2022-06-21",605,921,316,525,111.0,1
104,"2022-06-21",353,383,20,159,284.0,2
105,"2022-06-22",700,838,418,239,421.0,1
106,"2022-06-22",226,493,82,92,174.0,2
107,"2022-06-23",122,392,119,178,95.0,1
108,"2022-06-23",186,985,470,497,52.0,2
109,"2022-06-24",274,454,142,61,11.0,1
110,"2022-06-24",401,839,271,271,335.0,2
111,"2022-06-25",250,420,171,37,156.0,1
112,"2022-06-25",30,869,195,464,24.0,2
113,"2022-06-26",111,355,211,129,0.0,1
114,"2022-06-26",61,703,175,90,49.0,2
115,"2022-06-27",289,611,252,246,36.0,1
116,"2022-06-27",231,310,11,129,53.0,2
117,"2022-06-28",29,408,137,270,6.0,1
118,"2022-06-28",418,826,303,149,369.0,2
119,"2022-06-29",546,801,188,500,200.0,1
120,"2022-06-29",553,704,126,322,266.0,2
121,"2022-06-30",419,763,45,99,383.0,1
122,"2022-06-30",83,277,52,110,4.0,2
123,"2022-07-01",562,596,299,19,319.0,1
124,"2022-07-01",80,947,248,380,51.0,2
125,"2022-07-02",188,447,117,191,177.0,1
126,"2022-07-02",209,414,91,25,33.0,2
127,"2022-07-03",844,847,37,434,840.0,1
128,"2022-07-03",269,318,127,150,4.0,2
129,"2022-07-04",629,971,362,153,621.0,1
130,"2022-07-04",534,562,290,36,63.0,2
131,"2022-07-05",685,860,176,225,16.0,1
132,"2022-07-05",200,787,470,245,105.0,2
133,"2022-07-06",324,822,357,114,91.0,1
134,"2022-07-06",183,939,124,757,92.0,2
135,"2022-07-07",367,390,222,140,195.0,1
136,"2022-07-07",453,577,39,431,149.0,2
137,"2022-07-08",662,953,380,269,283.0,1
138,"2022-07-08",111,776,393,209,110.0,2
139,"2022-07-09",15,447,81,240,11.0,1
140,"2022-07-09",459,823,401,414,125.0,2
141,"2022-07-10",36,448,38,53,10.0,1
142,"2022-07-10",181,250,36,36,175.0,2
143,"2022-07-11",692,981,249,649,133.0,1
144,"2022-07-11",226,715,336,329,104.0,2
145,"2022-07-12",108,259,33,24,22.0,1
146,"2022-07-12",858,974,448,51,331.0,2
147,"2022-07-13",167,855,99,408,77.0,1
148,"2022-07-13",412,928,455,360,264.0,2
149,"2022-07-14",149,200,83,44,58.0,1
150,"2022-07-14",66,971,382,546,18.0,2
151,"2022-07-15",189,227,81,43,37.0,1
152,"2022-07-15",235,290,154,58,183.0,2
153,"2022-07-16",77,280,18,53,30.0,1
154,"2022-07-16",694,730,360,52,387.0,2
155,"2022-07-17",167,655,317,269,166.0,1
156,"2022-07-17",95,256,117,138,46.0,2
157,"2022-07-18",160,465,146,297,127.0,1
158,"2022-07-18",313,357,167,125,292.0,2
159,"2022-07-19",468,704,213,94,305.0,1
160,"2022-07-19",170,772,173,327,49.0,2
161,"2022-07-20",1,329,49,33,1.0,1
162,"2022-07-20",212,654,370,111,208.0,2
163,"2022-07-21",105,532,61,129,31.0,1
164,"2022-07-21",156,206,42,95,154.0,2
165,"2022-07-22",388,563,55,200,380.0,1
166,"2022-07-22",311,394,208,131,155.0,2
167,"2022-07-23",125,813,206,34,48.0,1
168,"2022-07-23",99,263,6,173,98.0,2
169,"2022-07-24",47,455,203,103,12.0,1
170,"2022-07-24",129,392,136,199,100.0,2
171,"2022-07-25",171,226,125,93,125.0,1
172,"2022-07-25",410,422,85,259,257.0,2
173,"2022-07-26",114,423,95,225,41.0,1
174,"2022-07-26",71,564,33,62,29.0,2
175,"2022-07-27",145,300,105,165,83.0,1
176,"2022-07-27",558,925,307,563,144.0,2
177,"2022-07-28",116,692,57,249,85.0,1
178,"2022-07-28",85,307,35,73,25.0,2
179,"2022-07-29",110,372,125,154,67.0,1
180,"2022-07-29",728,854,105,341,702.0,2
181,"2022-07-30",116,418,169,237,114.0,1
182,"2022-07-30",108,588,199,148,82.0,2
183,"2022-07-31",742,836,70,259,691.0,1
184,"2022-07-31",680,771,276,81,457.0,2
185,"2022-08-01",242,628,280,32,135.0,1
186,"2022-08-01",26,821,436,18,24.0,2
187,"2022-08-02",101,671,317,164,75.0,1
188,"2022-08-02",117,251,21,53,16.0,2
189,"2022-08-03",208,331,4,231,111.0,1
190,"2022-08-03",753,807,71,582,725.0,2
191,"2022-08-04",166,919,289,557,26.0,1
192,"2022-08-04",47,294,60,162,45.0,2
193,"2022-08-05",214,460,42,92,193.0,1
194,"2022-08-05",484,594,209,256,428.0,2
195,"2022-08-06",145,227,19,177,103.0,1
196,"2022-08-06",76,321,143,44,72.0,2
197,"2022-08-07",578,660,174,207,507.0,1
198,"2022-08-07",315,719,12,366,269.0,2
199,"2022-08-08",27,271,131,20,8.0,1
200,"2022-08-08",29,414,18,35,14.0,2
201,"2022-08-09",920,984,506,90,56.0,1
202,"2022-08-09",681,847,252,145,337.0,2
203,"2022-08-10",316,703,302,158,297.0,1
204,"2022-08-10",119,487,250,80,65.0,2
205,"2022-08-11",271,881,148,688,19.0,1
206,"2022-08-11",9,381,190,188,0.0,2
207,"2022-08-12",272,729,291,3,41.0,1
208,"2022-08-12",190,771,436,176,108.0,2
209,"2022-08-13",35,325,86,170,0.0,1
210,"2022-08-13",345,413,164,205,293.0,2
211,"2022-08-14",184,394,95,24,106.0,1
212,"2022-08-14",684,820,422,66,274.0,2
213,"2022-08-15",474,630,139,153,322.0,1
214,"2022-08-15",49,281,118,137,32.0,2
215,"2022-08-16",847,907,272,534,431.0,1
216,"2022-08-16",31,690,182,392,9.0,2
217,"2022-08-17",426,459,251,23,86.0,1
218,"2022-08-17",19,327,145,157,12.0,2
219,"2022-08-18",511,673,204,291,188.0,1
220,"2022-08-18",126,549,154,197,52.0,2
221,"2022-08-19",387,947,367,218,311.0,1
222,"2022-08-19",229,270,15,224,110.0,2
223,"2022-08-20",277,284,61,130,192.0,1
224,"2022-08-20",150,394,167,67,66.0,2
225,"2022-08-21",303,425,69,123,146.0,1
226,"2022-08-21",359,385,86,29,141.0,2
227,"2022-08-22",492,814,51,597,94.0,1
228,"2022-08-22",9,577,215,19,1.0,2
229,"2022-08-23",177,704,295,406,110.0,1
230,"2022-08-23",513,822,121,264,71.0,2
231,"2022-08-24",359,398,12,46,17.0,1
232,"2022-08-24",441,506,249,243,366.0,2
233,"2022-08-25",190,417,48,254,5.0,1
234,"2022-08-25",688,869,343,224,176.0,2
235,"2022-08-26",373,399,230,86,149.0,1
236,"2022-08-26",355,366,108,8,195.0,2
237,"2022-08-27",205,231,37,15,187.0,1
238,"2022-08-27",557,916,220,66,354.0,2
239,"2022-08-28",118,733,308,68,19.0,1
240,"2022-08-28",186,442,251,114,166.0,2
241,"2022-08-29",332,432,79,182,110.0,1
242,"2022-08-29",273,489,49,260,268.0,2
243,"2022-08-30",26,551,22,359,15.0,1
244,"2022-08-30",153,336,7,205,101.0,2
245,"2022-08-31",16,598,204,325,0.0,1
246,"2022-08-31",127,959,100,567,42.0,2
247,"2022-09-01",48,939,544,292,29.0,1
248,"2022-09-01",148,251,133,31,69.0,2
249,"2022-09-02",372,989,149,50,287.0,1
250,"2022-09-02",278,301,10,258,61.0,2
251,"2022-09-03",215,233,39,149,182.0,1
252,"2022-09-03",100,253,109,7,60.0,2
253,"2022-09-04",20,558,106,447,13.0,1
254,"2022-09-04",284,482,61,300,244.0,2
255,"2022-09-05",200,222,75,43,47.0,1
256,"2022-09-05",209,620,288,271,48.0,2
257,"2022-09-06",114,968,86,97,112.0,1
258,"2022-09-06",382,389,87,113,8.0,2
259,"2022-09-07",497,860,305,361,234.0,1
260,"2022-09-07",7,360,141,141,1.0,2
261,"2022-09-08",781,784,72,503,645.0,1
262,"2022-09-08",49,942,362,101,36.0,2
