"md_id","busi_time","callback_type","callback_cnt","success_cnt","satisfaction_cnt","dissatisfaction_cnt","no_evaluate_cnt","avg_callback_time"
1,"2022-05-01",1,76,41,37,2,2,3.84
2,"2022-05-01",2,107,89,81,7,1,0.0
3,"2022-05-01",3,148,120,85,2,33,2.79
4,"2022-05-02",1,84,38,5,17,16,7.04
5,"2022-05-02",2,76,64,64,0,0,0.0
6,"2022-05-02",3,106,76,48,21,7,1.81
7,"2022-05-03",1,72,43,9,32,2,5.67
8,"2022-05-03",2,129,64,10,16,38,0.0
9,"2022-05-03",3,124,119,23,28,68,4.32
10,"2022-05-04",1,168,69,13,18,38,9.07
11,"2022-05-04",2,66,30,3,20,7,0.0
12,"2022-05-04",3,175,64,56,3,5,3.72
13,"2022-05-05",1,114,48,15,7,26,8.14
14,"2022-05-05",2,96,46,3,3,40,0.0
15,"2022-05-05",3,158,90,15,66,9,1.04
16,"2022-05-06",1,84,52,0,29,23,4.6
17,"2022-05-06",2,160,129,119,7,3,0.0
18,"2022-05-06",3,108,83,64,15,4,2.16
19,"2022-05-07",1,169,138,63,75,0,6.59
20,"2022-05-07",2,182,68,3,50,15,0.0
21,"2022-05-07",3,87,31,23,3,5,4.42
22,"2022-05-08",1,52,47,26,4,17,8.06
23,"2022-05-08",2,174,51,8,25,18,0.0
24,"2022-05-08",3,71,57,50,1,6,1.39
25,"2022-05-09",1,50,30,7,13,10,4.81
26,"2022-05-09",2,171,99,43,44,12,0.0
27,"2022-05-09",3,130,122,6,73,43,4.56
28,"2022-05-10",1,84,46,27,17,2,2.42
29,"2022-05-10",2,190,159,80,79,0,0.0
30,"2022-05-10",3,169,34,10,22,2,3.6
31,"2022-05-11",1,80,71,67,2,2,3.42
32,"2022-05-11",2,182,177,89,28,60,0.0
33,"2022-05-11",3,125,86,10,32,44,2.53
34,"2022-05-12",1,85,62,24,12,26,9.17
35,"2022-05-12",2,194,74,51,21,2,0.0
36,"2022-05-12",3,161,87,70,17,0,4.12
37,"2022-05-13",1,143,48,17,8,23,4.2
38,"2022-05-13",2,55,43,11,4,28,0.0
39,"2022-05-13",3,132,55,43,5,7,2.28
40,"2022-05-14",1,55,49,18,29,2,6.57
41,"2022-05-14",2,185,43,43,0,0,0.0
42,"2022-05-14",3,105,58,55,2,1,2.8
43,"2022-05-15",1,114,85,37,7,41,2.99
44,"2022-05-15",2,95,32,16,6,10,0.0
45,"2022-05-15",3,60,48,26,9,13,4.07
46,"2022-05-16",1,195,176,8,105,63,5.52
47,"2022-05-16",2,114,104,69,25,10,0.0
48,"2022-05-16",3,142,54,37,3,14,1.96
49,"2022-05-17",1,143,116,104,11,1,6.19
50,"2022-05-17",2,153,62,11,19,32,0.0
51,"2022-05-17",3,110,54,45,0,9,4.22
52,"2022-05-18",1,144,134,14,35,85,5.69
53,"2022-05-18",2,114,72,2,44,26,0.0
54,"2022-05-18",3,150,126,60,27,39,1.89
55,"2022-05-19",1,153,43,19,18,6,3.1
56,"2022-05-19",2,191,108,83,6,19,0.0
57,"2022-05-19",3,117,64,48,6,10,4.88
58,"2022-05-20",1,112,108,8,49,51,4.17
59,"2022-05-20",2,132,34,16,8,10,0.0
60,"2022-05-20",3,161,33,30,1,2,4.17
61,"2022-05-21",1,166,58,17,39,2,9.75
62,"2022-05-21",2,169,57,7,50,0,0.0
63,"2022-05-21",3,184,98,74,21,3,2.51
64,"2022-05-22",1,179,124,119,3,2,2.06
65,"2022-05-22",2,161,40,26,12,2,0.0
66,"2022-05-22",3,175,138,80,37,21,2.28
67,"2022-05-23",1,175,77,41,6,30,7.5
68,"2022-05-23",2,97,69,23,1,45,0.0
69,"2022-05-23",3,84,68,9,16,43,3.72
70,"2022-05-24",1,59,31,19,6,6,6.57
71,"2022-05-24",2,91,80,25,9,46,0.0
72,"2022-05-24",3,198,31,13,0,18,2.65
73,"2022-05-25",1,68,55,29,14,12,2.69
74,"2022-05-25",2,108,56,43,11,2,0.0
75,"2022-05-25",3,112,31,8,14,9,1.55
76,"2022-05-26",1,146,132,49,57,26,4.52
77,"2022-05-26",2,157,75,5,53,17,0.0
78,"2022-05-26",3,93,41,41,0,0,1.15
79,"2022-05-27",1,86,82,65,4,13,5.98
80,"2022-05-27",2,74,67,29,26,12,0.0
81,"2022-05-27",3,179,107,52,44,11,3.36
82,"2022-05-28",1,168,150,16,18,116,5.32
83,"2022-05-28",2,178,169,130,0,39,0.0
84,"2022-05-28",3,56,32,23,2,7,3.96
85,"2022-05-29",1,154,149,147,2,0,2.74
86,"2022-05-29",2,98,75,39,14,22,0.0
87,"2022-05-29",3,171,120,45,53,22,2.44
88,"2022-05-30",1,62,34,25,7,2,2.3
89,"2022-05-30",2,70,42,17,18,7,0.0
90,"2022-05-30",3,82,69,28,14,27,2.9
91,"2022-05-31",1,59,58,49,6,3,10.0
92,"2022-05-31",2,101,77,2,29,46,0.0
93,"2022-05-31",3,91,68,3,47,18,2.81
94,"2022-06-01",1,89,85,29,39,17,7.29
95,"2022-06-01",2,121,79,4,9,66,0.0
96,"2022-06-01",3,60,53,6,26,21,1.16
97,"2022-06-02",1,59,51,33,1,17,9.67
98,"2022-06-02",2,161,79,71,6,2,0.0
99,"2022-06-02",3,192,168,111,8,49,3.15
100,"2022-06-03",1,179,50,37,11,2,5.77
101,"2022-06-03",2,118,79,23,44,12,0.0
102,"2022-06-03",3,99,93,49,21,23,1.04
103,"2022-06-04",1,135,40,32,6,2,6.24
104,"2022-06-04",2,177,58,54,3,1,0.0
105,"2022-06-04",3,112,74,67,6,1,3.72
106,"2022-06-05",1,98,63,32,30,1,2.43
107,"2022-06-05",2,53,31,28,0,3,0.0
108,"2022-06-05",3,196,131,72,48,11,2.58
109,"2022-06-06",1,151,128,59,16,53,7.4
110,"2022-06-06",2,130,71,1,32,38,0.0
111,"2022-06-06",3,90,38,0,26,12,1.44
112,"2022-06-07",1,94,80,75,4,1,2.6
113,"2022-06-07",2,98,90,65,4,21,0.0
114,"2022-06-07",3,83,40,13,27,0,2.21
115,"2022-06-08",1,106,80,0,29,51,9.2
116,"2022-06-08",2,197,30,14,6,10,0.0
117,"2022-06-08",3,103,92,66,16,10,2.54
118,"2022-06-09",1,167,62,40,8,14,4.06
119,"2022-06-09",2,116,70,45,22,3,0.0
120,"2022-06-09",3,158,68,19,5,44,4.59
121,"2022-06-10",1,116,32,17,11,4,7.57
122,"2022-06-10",2,129,113,3,36,74,0.0
123,"2022-06-10",3,72,30,12,15,3,1.23
124,"2022-06-11",1,81,39,4,22,13,4.08
125,"2022-06-11",2,163,131,80,50,1,0.0
126,"2022-06-11",3,122,108,38,11,59,3.7
127,"2022-06-12",1,169,90,56,28,6,2.55
128,"2022-06-12",2,52,46,29,1,16,0.0
129,"2022-06-12",3,75,51,25,16,10,1.21
130,"2022-06-13",1,93,30,2,16,12,2.86
131,"2022-06-13",2,177,136,49,48,39,0.0
132,"2022-06-13",3,121,41,34,6,1,1.13
133,"2022-06-14",1,178,169,75,29,65,8.92
134,"2022-06-14",2,92,52,25,11,16,0.0
135,"2022-06-14",3,82,45,14,31,0,4.3
136,"2022-06-15",1,190,186,17,133,36,3.58
137,"2022-06-15",2,97,92,45,35,12,0.0
138,"2022-06-15",3,139,46,41,2,3,4.63
139,"2022-06-16",1,153,107,20,16,71,6.19
140,"2022-06-16",2,200,56,17,6,33,0.0
141,"2022-06-16",3,121,119,30,50,39,3.32
142,"2022-06-17",1,72,31,0,13,18,2.42
143,"2022-06-17",2,102,82,47,13,22,0.0
144,"2022-06-17",3,83,71,66,3,2,4.85
145,"2022-06-18",1,177,47,30,4,13,4.25
146,"2022-06-18",2,146,107,18,43,46,0.0
147,"2022-06-18",3,109,72,33,6,33,2.32
148,"2022-06-19",1,197,132,97,13,22,7.94
149,"2022-06-19",2,164,143,22,4,117,0.0
150,"2022-06-19",3,90,64,13,28,23,3.97
151,"2022-06-20",1,123,70,24,0,46,3.89
152,"2022-06-20",2,186,184,158,6,20,0.0
153,"2022-06-20",3,83,60,30,6,24,1.29
154,"2022-06-21",1,94,81,10,54,17,5.66
155,"2022-06-21",2,185,168,23,100,45,0.0
156,"2022-06-21",3,136,100,22,19,59,2.2
157,"2022-06-22",1,50,33,3,1,29,8.61
158,"2022-06-22",2,141,65,28,26,11,0.0
159,"2022-06-22",3,97,86,78,8,0,1.12
160,"2022-06-23",1,114,77,72,3,2,4.66
161,"2022-06-23",2,186,66,1,3,62,0.0
162,"2022-06-23",3,53,33,25,0,8,3.87
163,"2022-06-24",1,150,138,113,24,1,9.07
164,"2022-06-24",2,96,57,16,39,2,0.0
165,"2022-06-24",3,87,64,62,1,1,4.36
166,"2022-06-25",1,192,73,35,12,26,8.68
167,"2022-06-25",2,110,87,33,24,30,0.0
168,"2022-06-25",3,111,47,21,21,5,2.56
