"md_id","busi_time","type_name","name","due_cnt","overdue_cnt","serious_overdue_cnt","avg_overdue_time"
1,"2022-05-01",1,一般,185,19,4,48.78
2,"2022-05-01",1,紧急,157,39,8,38.01
3,"2022-05-01",1,特急,191,79,53,22.75
4,"2022-05-01",1,应急事件,129,44,2,27.21
5,"2022-05-01",2,受理中,106,13,7,47.12
6,"2022-05-01",2,办理中,171,83,51,47.88
7,"2022-05-01",2,审核中,162,36,24,26.5
8,"2022-05-01",2,待归档,114,51,22,34.63
9,"2022-05-01",2,已回访,183,47,26,28.44
10,"2022-05-02",1,一般,147,42,19,37.09
11,"2022-05-02",1,紧急,80,28,8,44.22
12,"2022-05-02",1,特急,128,43,28,11.54
13,"2022-05-02",1,应急事件,98,35,4,38.57
14,"2022-05-02",2,受理中,157,68,27,35.31
15,"2022-05-02",2,办理中,154,35,32,53.85
16,"2022-05-02",2,审核中,116,14,8,56.27
17,"2022-05-02",2,待归档,119,39,3,51.29
18,"2022-05-02",2,已回访,155,22,15,54.75
19,"2022-05-03",1,一般,154,28,24,23.69
20,"2022-05-03",1,紧急,157,11,7,44.03
21,"2022-05-03",1,特急,169,51,19,22.85
22,"2022-05-03",1,应急事件,185,61,60,54.57
23,"2022-05-03",2,受理中,141,52,17,33.08
24,"2022-05-03",2,办理中,170,67,59,16.17
25,"2022-05-03",2,审核中,129,41,18,50.45
26,"2022-05-03",2,待归档,142,65,44,26.74
27,"2022-05-03",2,已回访,196,47,40,22.77
28,"2022-05-04",1,一般,153,66,3,30.19
29,"2022-05-04",1,紧急,120,17,0,52.64
30,"2022-05-04",1,特急,185,75,40,18.48
31,"2022-05-04",1,应急事件,80,15,2,34.53
32,"2022-05-04",2,受理中,177,46,36,24.31
33,"2022-05-04",2,办理中,157,27,8,29.35
34,"2022-05-04",2,审核中,193,69,11,27.23
35,"2022-05-04",2,待归档,134,66,64,39.96
36,"2022-05-04",2,已回访,190,38,29,40.21
37,"2022-05-05",1,一般,129,63,59,46.98
38,"2022-05-05",1,紧急,128,28,8,12.5
39,"2022-05-05",1,特急,146,38,36,52.07
40,"2022-05-05",1,应急事件,150,17,0,32.46
41,"2022-05-05",2,受理中,195,40,19,52.4
42,"2022-05-05",2,办理中,151,23,15,55.99
43,"2022-05-05",2,审核中,161,39,17,36.25
44,"2022-05-05",2,待归档,81,31,3,11.99
45,"2022-05-05",2,已回访,196,33,5,26.5
46,"2022-05-06",1,一般,178,16,8,17.99
47,"2022-05-06",1,紧急,114,56,25,56.83
48,"2022-05-06",1,特急,161,28,7,41.74
49,"2022-05-06",1,应急事件,80,35,15,44.34
50,"2022-05-06",2,受理中,123,49,18,44.19
51,"2022-05-06",2,办理中,162,49,12,15.12
52,"2022-05-06",2,审核中,167,73,34,58.69
