"md_id","busi_time","satis_num","connect_num","item_num"
1,"2022-05-01",32,688,887
2,"2022-05-02",613,234,691
3,"2022-05-03",691,677,930
4,"2022-05-04",444,755,822
5,"2022-05-05",530,413,552
6,"2022-05-06",0,167,691
7,"2022-05-07",520,672,993
8,"2022-05-08",311,266,801
9,"2022-05-09",48,170,608
10,"2022-05-10",19,312,636
11,"2022-05-11",85,569,654
12,"2022-05-12",15,531,772
13,"2022-05-13",5,161,360
14,"2022-05-14",36,578,585
15,"2022-05-15",279,184,365
16,"2022-05-16",234,32,701
17,"2022-05-17",98,151,557
18,"2022-05-18",8,630,859
19,"2022-05-19",232,276,908
20,"2022-05-20",30,373,385
21,"2022-05-21",201,356,375
22,"2022-05-22",107,131,419
23,"2022-05-23",812,384,851
24,"2022-05-24",424,122,923
25,"2022-05-25",794,273,978
26,"2022-05-26",211,293,955
27,"2022-05-27",610,688,910
28,"2022-05-28",630,480,903
29,"2022-05-29",592,178,599
30,"2022-05-30",235,15,346
31,"2022-05-31",415,520,534
32,"2022-06-01",53,815,958
33,"2022-06-02",188,216,595
34,"2022-06-03",38,195,336
35,"2022-06-04",147,255,452
36,"2022-06-05",119,529,926
37,"2022-06-06",51,172,898
38,"2022-06-07",107,37,312
39,"2022-06-08",184,654,846
40,"2022-06-09",406,326,585
41,"2022-06-10",224,193,431
42,"2022-06-11",403,368,655
43,"2022-06-12",62,306,578
44,"2022-06-13",146,213,462
45,"2022-06-14",436,646,814
46,"2022-06-15",31,51,368
47,"2022-06-16",188,293,375
48,"2022-06-17",197,25,986
49,"2022-06-18",188,676,691
50,"2022-06-19",317,233,338
51,"2022-06-20",273,272,457
52,"2022-06-21",526,480,682
53,"2022-06-22",219,513,901
54,"2022-06-23",372,388,614
55,"2022-06-24",55,232,766
56,"2022-06-25",260,526,561
57,"2022-06-26",250,390,444
58,"2022-06-27",9,472,579
59,"2022-06-28",554,834,916
60,"2022-06-29",324,329,456
61,"2022-06-30",326,411,415
62,"2022-07-01",343,298,434
63,"2022-07-02",725,454,732
64,"2022-07-03",18,162,744
65,"2022-07-04",632,389,830
66,"2022-07-05",385,357,855
67,"2022-07-06",158,552,592
68,"2022-07-07",335,247,367
69,"2022-07-08",88,193,353
70,"2022-07-09",284,918,924
71,"2022-07-10",759,234,833
72,"2022-07-11",57,130,323
73,"2022-07-12",78,523,943
74,"2022-07-13",581,141,586
75,"2022-07-14",62,247,833
76,"2022-07-15",432,95,945
77,"2022-07-16",592,293,800
78,"2022-07-17",302,171,592
79,"2022-07-18",558,54,645
80,"2022-07-19",377,105,649
81,"2022-07-20",390,397,480
82,"2022-07-21",185,189,680
83,"2022-07-22",715,287,762
84,"2022-07-23",59,33,344
85,"2022-07-24",74,292,323
86,"2022-07-25",482,309,568
87,"2022-07-26",310,150,698
88,"2022-07-27",735,782,844
89,"2022-07-28",467,35,568
90,"2022-07-29",680,639,955
91,"2022-07-30",514,94,557
92,"2022-07-31",77,541,656
93,"2022-08-01",175,402,669
94,"2022-08-02",316,59,334
95,"2022-08-03",359,95,451
96,"2022-08-04",149,822,865
97,"2022-08-05",588,459,619
98,"2022-08-06",516,265,707
99,"2022-08-07",431,379,496
100,"2022-08-08",427,428,542
101,"2022-08-09",201,284,304
102,"2022-08-10",60,242,435
103,"2022-08-11",709,731,758
104,"2022-08-12",159,16,414
105,"2022-08-13",30,485,570
106,"2022-08-14",308,313,380
107,"2022-08-15",120,219,405
108,"2022-08-16",922,572,933
109,"2022-08-17",193,234,444
110,"2022-08-18",606,82,811
111,"2022-08-19",835,53,903
112,"2022-08-20",539,491,767
113,"2022-08-21",162,268,439
114,"2022-08-22",77,521,833
115,"2022-08-23",405,319,728
116,"2022-08-24",673,620,768
117,"2022-08-25",134,659,671
118,"2022-08-26",371,289,390
119,"2022-08-27",327,679,736
120,"2022-08-28",110,7,441
121,"2022-08-29",95,522,915
122,"2022-08-30",144,519,611
123,"2022-08-31",558,388,599
124,"2022-09-01",616,396,738
125,"2022-09-02",225,179,356
126,"2022-09-03",168,111,324
127,"2022-09-04",163,294,934
128,"2022-09-05",212,297,423
129,"2022-09-06",354,600,830
130,"2022-09-07",344,93,882
131,"2022-09-08",653,522,700
132,"2022-09-09",52,520,751
133,"2022-09-10",60,339,551
134,"2022-09-11",423,203,474
135,"2022-09-12",493,51,581
136,"2022-09-13",510,476,985
137,"2022-09-14",216,490,501
138,"2022-09-15",712,327,827
139,"2022-09-16",403,121,555
140,"2022-09-17",108,473,586
141,"2022-09-18",1,78,593
142,"2022-09-19",538,421,875
143,"2022-09-20",480,67,568
144,"2022-09-21",263,771,933
145,"2022-09-22",237,266,462
146,"2022-09-23",153,104,519
147,"2022-09-24",726,104,802
148,"2022-09-25",164,130,624
149,"2022-09-26",358,828,941
150,"2022-09-27",563,880,897
151,"2022-09-28",401,350,537
152,"2022-09-29",483,387,594
