"md_id","busi_date","dept_id","dept_name","flow_stage","total_cnt","rollback_cnt"
1,"2022-05-01","1001",客服一部,话务员暂存,227,0
2,"2022-05-01","1001",客服一部,话务员受理,125,11
3,"2022-05-01","1002",客服二部,话务员受理,124,23
4,"2022-05-01","2001",业务一科,话务员办理,77,5
5,"2022-05-01","2002",业务二科,话务员办理,214,15
6,"2022-05-01","3001",热线审核中心,热线审核,62,10
7,"2022-05-01","3002",热线复核中心,热线复核,154,21
8,"2022-05-01","4001",承办单位A,承办单位审核,233,46
9,"2022-05-01","4001",承办单位A,承办单位处理,59,9
10,"2022-05-01","4002",承办单位B,承办单位处理,81,8
11,"2022-05-01","4003",承办复核部A,承办单位复核,79,8
12,"2022-05-01","5001",结案一部,办结,51,8
13,"2022-05-01","5002",结案二部,办结,101,2
14,"2022-05-01","6001",客户回访一组,回访,94,16
15,"2022-05-01","6002",客户回访二组,回访,103,14
16,"2022-05-01","6003",客户回访三组,回访,57,11
17,"2022-05-01","7001",档案管理部,归档,110,3
18,"2022-05-01","8001",异常工单组,挂起,55,4
19,"2022-05-02","1001",客服一部,话务员暂存,145,0
20,"2022-05-02","1001",客服一部,话务员受理,206,25
21,"2022-05-02","1002",客服二部,话务员受理,172,27
22,"2022-05-02","2001",业务一科,话务员办理,53,5
23,"2022-05-02","2002",业务二科,话务员办理,252,27
24,"2022-05-02","3001",热线审核中心,热线审核,219,31
25,"2022-05-02","3002",热线复核中心,热线复核,107,17
26,"2022-05-02","4001",承办单位A,承办单位审核,101,4
27,"2022-05-02","4001",承办单位A,承办单位处理,149,6
28,"2022-05-02","4002",承办单位B,承办单位处理,202,3
29,"2022-05-02","4003",承办复核部A,承办单位复核,281,2
30,"2022-05-02","5001",结案一部,办结,160,10
31,"2022-05-02","5002",结案二部,办结,215,1
32,"2022-05-02","6001",客户回访一组,回访,130,12
33,"2022-05-02","6002",客户回访二组,回访,254,9
34,"2022-05-02","6003",客户回访三组,回访,239,11
35,"2022-05-02","7001",档案管理部,归档,263,51
36,"2022-05-02","8001",异常工单组,挂起,253,42
37,"2022-05-03","1001",客服一部,话务员暂存,250,0
38,"2022-05-03","1001",客服一部,话务员受理,300,7
39,"2022-05-03","1002",客服二部,话务员受理,124,8
40,"2022-05-03","2001",业务一科,话务员办理,205,3
41,"2022-05-03","2002",业务二科,话务员办理,254,50
42,"2022-05-03","3001",热线审核中心,热线审核,228,40
43,"2022-05-03","3002",热线复核中心,热线复核,274,25
44,"2022-05-03","4001",承办单位A,承办单位审核,202,10
45,"2022-05-03","4001",承办单位A,承办单位处理,272,21
46,"2022-05-03","4002",承办单位B,承办单位处理,200,25
47,"2022-05-03","4003",承办复核部A,承办单位复核,92,5
48,"2022-05-03","5001",结案一部,办结,227,45
49,"2022-05-03","5002",结案二部,办结,120,4
50,"2022-05-03","6001",客户回访一组,回访,57,1
51,"2022-05-03","6002",客户回访二组,回访,69,8
52,"2022-05-03","6003",客户回访三组,回访,131,5
53,"2022-05-03","7001",档案管理部,归档,123,18
54,"2022-05-03","8001",异常工单组,挂起,184,20
55,"2022-05-04","1001",客服一部,话务员暂存,112,0
56,"2022-05-04","1001",客服一部,话务员受理,88,15
57,"2022-05-04","1002",客服二部,话务员受理,281,31
58,"2022-05-04","2001",业务一科,话务员办理,178,9
59,"2022-05-04","2002",业务二科,话务员办理,117,15
60,"2022-05-04","3001",热线审核中心,热线审核,60,6
61,"2022-05-04","3002",热线复核中心,热线复核,225,30
62,"2022-05-04","4001",承办单位A,承办单位审核,300,60
63,"2022-05-04","4001",承办单位A,承办单位处理,89,16
64,"2022-05-04","4002",承办单位B,承办单位处理,292,17
65,"2022-05-04","4003",承办复核部A,承办单位复核,69,0
66,"2022-05-04","5001",结案一部,办结,170,18
67,"2022-05-04","5002",结案二部,办结,147,21
68,"2022-05-04","6001",客户回访一组,回访,193,18
69,"2022-05-04","6002",客户回访二组,回访,85,9
70,"2022-05-04","6003",客户回访三组,回访,83,16
71,"2022-05-04","7001",档案管理部,归档,185,18
72,"2022-05-04","8001",异常工单组,挂起,69,8
73,"2022-05-05","1001",客服一部,话务员暂存,92,0
74,"2022-05-05","1001",客服一部,话务员受理,283,32
75,"2022-05-05","1002",客服二部,话务员受理,161,23
76,"2022-05-05","2001",业务一科,话务员办理,104,6
77,"2022-05-05","2002",业务二科,话务员办理,100,9
78,"2022-05-05","3001",热线审核中心,热线审核,207,17
79,"2022-05-05","3002",热线复核中心,热线复核,77,12
80,"2022-05-05","4001",承办单位A,承办单位审核,286,40
81,"2022-05-05","4001",承办单位A,承办单位处理,202,26
82,"2022-05-05","4002",承办单位B,承办单位处理,252,26
83,"2022-05-05","4003",承办复核部A,承办单位复核,235,37
84,"2022-05-05","5001",结案一部,办结,220,37
85,"2022-05-05","5002",结案二部,办结,287,14
86,"2022-05-05","6001",客户回访一组,回访,280,9
87,"2022-05-05","6002",客户回访二组,回访,252,25
88,"2022-05-05","6003",客户回访三组,回访,127,25
89,"2022-05-05","7001",档案管理部,归档,294,37
90,"2022-05-05","8001",异常工单组,挂起,109,17
91,"2022-05-06","1001",客服一部,话务员暂存,204,0
92,"2022-05-06","1001",客服一部,话务员受理,138,13
93,"2022-05-06","1002",客服二部,话务员受理,83,1
94,"2022-05-06","2001",业务一科,话务员办理,200,0
95,"2022-05-06","2002",业务二科,话务员办理,85,6
96,"2022-05-06","3001",热线审核中心,热线审核,215,29
97,"2022-05-06","3002",热线复核中心,热线复核,204,32
98,"2022-05-06","4001",承办单位A,承办单位审核,176,18
99,"2022-05-06","4001",承办单位A,承办单位处理,226,44
100,"2022-05-06","4002",承办单位B,承办单位处理,229,45
101,"2022-05-06","4003",承办复核部A,承办单位复核,193,13
102,"2022-05-06","5001",结案一部,办结,145,24
103,"2022-05-06","5002",结案二部,办结,141,14
104,"2022-05-06","6001",客户回访一组,回访,52,1
105,"2022-05-06","6002",客户回访二组,回访,115,6
106,"2022-05-06","6003",客户回访三组,回访,168,26
107,"2022-05-06","7001",档案管理部,归档,192,27
108,"2022-05-06","8001",异常工单组,挂起,157,11
109,"2022-05-07","1001",客服一部,话务员暂存,249,0
110,"2022-05-07","1001",客服一部,话务员受理,86,3
111,"2022-05-07","1002",客服二部,话务员受理,207,30
112,"2022-05-07","2001",业务一科,话务员办理,278,43
113,"2022-05-07","2002",业务二科,话务员办理,65,12
114,"2022-05-07","3001",热线审核中心,热线审核,100,4
115,"2022-05-07","3002",热线复核中心,热线复核,166,17
116,"2022-05-07","4001",承办单位A,承办单位审核,247,44
117,"2022-05-07","4001",承办单位A,承办单位处理,103,13
118,"2022-05-07","4002",承办单位B,承办单位处理,259,43
119,"2022-05-07","4003",承办复核部A,承办单位复核,202,25
120,"2022-05-07","5001",结案一部,办结,135,16
121,"2022-05-07","5002",结案二部,办结,145,4
122,"2022-05-07","6001",客户回访一组,回访,256,43
123,"2022-05-07","6002",客户回访二组,回访,297,4
124,"2022-05-07","6003",客户回访三组,回访,156,3
125,"2022-05-07","7001",档案管理部,归档,255,18
126,"2022-05-07","8001",异常工单组,挂起,132,18
127,"2022-05-08","1001",客服一部,话务员暂存,114,0
128,"2022-05-08","1001",客服一部,话务员受理,167,25
129,"2022-05-08","1002",客服二部,话务员受理,213,3
130,"2022-05-08","2001",业务一科,话务员办理,231,1
131,"2022-05-08","2002",业务二科,话务员办理,254,42
132,"2022-05-08","3001",热线审核中心,热线审核,286,25
133,"2022-05-08","3002",热线复核中心,热线复核,108,16
134,"2022-05-08","4001",承办单位A,承办单位审核,298,18
135,"2022-05-08","4001",承办单位A,承办单位处理,259,46
136,"2022-05-08","4002",承办单位B,承办单位处理,131,22
137,"2022-05-08","4003",承办复核部A,承办单位复核,250,40
138,"2022-05-08","5001",结案一部,办结,218,26
139,"2022-05-08","5002",结案二部,办结,283,40
140,"2022-05-08","6001",客户回访一组,回访,291,7
141,"2022-05-08","6002",客户回访二组,回访,278,21
142,"2022-05-08","6003",客户回访三组,回访,177,15
143,"2022-05-08","7001",档案管理部,归档,263,2
144,"2022-05-08","8001",异常工单组,挂起,148,29
145,"2022-05-09","1001",客服一部,话务员暂存,56,0
146,"2022-05-09","1001",客服一部,话务员受理,234,8
147,"2022-05-09","1002",客服二部,话务员受理,223,36
148,"2022-05-09","2001",业务一科,话务员办理,60,12
149,"2022-05-09","2002",业务二科,话务员办理,115,1
150,"2022-05-09","3001",热线审核中心,热线审核,194,31
151,"2022-05-09","3002",热线复核中心,热线复核,173,20
152,"2022-05-09","4001",承办单位A,承办单位审核,59,3
153,"2022-05-09","4001",承办单位A,承办单位处理,77,3
154,"2022-05-09","4002",承办单位B,承办单位处理,274,42
155,"2022-05-09","4003",承办复核部A,承办单位复核,102,6
156,"2022-05-09","5001",结案一部,办结,149,10
157,"2022-05-09","5002",结案二部,办结,223,12
158,"2022-05-09","6001",客户回访一组,回访,174,2
159,"2022-05-09","6002",客户回访二组,回访,164,12
160,"2022-05-09","6003",客户回访三组,回访,62,9
161,"2022-05-09","7001",档案管理部,归档,136,6
162,"2022-05-09","8001",异常工单组,挂起,72,4
163,"2022-05-10","1001",客服一部,话务员暂存,81,0
164,"2022-05-10","1001",客服一部,话务员受理,298,39
165,"2022-05-10","1002",客服二部,话务员受理,175,27
166,"2022-05-10","2001",业务一科,话务员办理,132,24
167,"2022-05-10","2002",业务二科,话务员办理,86,6
168,"2022-05-10","3001",热线审核中心,热线审核,186,28
169,"2022-05-10","3002",热线复核中心,热线复核,80,2
170,"2022-05-10","4001",承办单位A,承办单位审核,246,23
171,"2022-05-10","4001",承办单位A,承办单位处理,112,18
172,"2022-05-10","4002",承办单位B,承办单位处理,101,11
173,"2022-05-10","4003",承办复核部A,承办单位复核,99,11
174,"2022-05-10","5001",结案一部,办结,164,18
175,"2022-05-10","5002",结案二部,办结,201,35
176,"2022-05-10","6001",客户回访一组,回访,205,31
177,"2022-05-10","6002",客户回访二组,回访,76,15
178,"2022-05-10","6003",客户回访三组,回访,139,17
179,"2022-05-10","7001",档案管理部,归档,136,6
180,"2022-05-10","8001",异常工单组,挂起,179,24
181,"2022-05-11","1001",客服一部,话务员暂存,134,0
182,"2022-05-11","1001",客服一部,话务员受理,112,16
183,"2022-05-11","1002",客服二部,话务员受理,88,0
184,"2022-05-11","2001",业务一科,话务员办理,119,14
185,"2022-05-11","2002",业务二科,话务员办理,276,13
186,"2022-05-11","3001",热线审核中心,热线审核,233,16
187,"2022-05-11","3002",热线复核中心,热线复核,206,37
188,"2022-05-11","4001",承办单位A,承办单位审核,146,24
189,"2022-05-11","4001",承办单位A,承办单位处理,285,33
190,"2022-05-11","4002",承办单位B,承办单位处理,215,6
191,"2022-05-11","4003",承办复核部A,承办单位复核,260,31
192,"2022-05-11","5001",结案一部,办结,170,5
193,"2022-05-11","5002",结案二部,办结,133,18
194,"2022-05-11","6001",客户回访一组,回访,65,10
195,"2022-05-11","6002",客户回访二组,回访,260,22
196,"2022-05-11","6003",客户回访三组,回访,279,16
197,"2022-05-11","7001",档案管理部,归档,257,9
198,"2022-05-11","8001",异常工单组,挂起,216,9
199,"2022-05-12","1001",客服一部,话务员暂存,147,0
200,"2022-05-12","1001",客服一部,话务员受理,213,22
201,"2022-05-12","1002",客服二部,话务员受理,50,2
202,"2022-05-12","2001",业务一科,话务员办理,155,28
203,"2022-05-12","2002",业务二科,话务员办理,98,12
204,"2022-05-12","3001",热线审核中心,热线审核,300,56
205,"2022-05-12","3002",热线复核中心,热线复核,114,14
206,"2022-05-12","4001",承办单位A,承办单位审核,213,11
207,"2022-05-12","4001",承办单位A,承办单位处理,245,2
208,"2022-05-12","4002",承办单位B,承办单位处理,223,38
209,"2022-05-12","4003",承办复核部A,承办单位复核,113,19
210,"2022-05-12","5001",结案一部,办结,83,9
211,"2022-05-12","5002",结案二部,办结,67,8
212,"2022-05-12","6001",客户回访一组,回访,288,2
213,"2022-05-12","6002",客户回访二组,回访,179,31
214,"2022-05-12","6003",客户回访三组,回访,185,17
215,"2022-05-12","7001",档案管理部,归档,298,16
216,"2022-05-12","8001",异常工单组,挂起,284,14
217,"2022-05-13","1001",客服一部,话务员暂存,92,0
218,"2022-05-13","1001",客服一部,话务员受理,99,3
219,"2022-05-13","1002",客服二部,话务员受理,165,2
220,"2022-05-13","2001",业务一科,话务员办理,208,17
221,"2022-05-13","2002",业务二科,话务员办理,236,19
222,"2022-05-13","3001",热线审核中心,热线审核,57,8
223,"2022-05-13","3002",热线复核中心,热线复核,300,41
224,"2022-05-13","4001",承办单位A,承办单位审核,243,7
225,"2022-05-13","4001",承办单位A,承办单位处理,183,24
226,"2022-05-13","4002",承办单位B,承办单位处理,233,0
227,"2022-05-13","4003",承办复核部A,承办单位复核,109,1
228,"2022-05-13","5001",结案一部,办结,269,11
229,"2022-05-13","5002",结案二部,办结,64,5
230,"2022-05-13","6001",客户回访一组,回访,116,8
231,"2022-05-13","6002",客户回访二组,回访,259,18
232,"2022-05-13","6003",客户回访三组,回访,103,20
233,"2022-05-13","7001",档案管理部,归档,111,22
234,"2022-05-13","8001",异常工单组,挂起,141,15
235,"2022-05-14","1001",客服一部,话务员暂存,256,0
236,"2022-05-14","1001",客服一部,话务员受理,82,8
237,"2022-05-14","1002",客服二部,话务员受理,191,13
238,"2022-05-14","2001",业务一科,话务员办理,188,8
239,"2022-05-14","2002",业务二科,话务员办理,248,17
240,"2022-05-14","3001",热线审核中心,热线审核,180,16
241,"2022-05-14","3002",热线复核中心,热线复核,100,10
242,"2022-05-14","4001",承办单位A,承办单位审核,191,19
243,"2022-05-14","4001",承办单位A,承办单位处理,176,35
244,"2022-05-14","4002",承办单位B,承办单位处理,160,32
245,"2022-05-14","4003",承办复核部A,承办单位复核,177,4
246,"2022-05-14","5001",结案一部,办结,221,1
247,"2022-05-14","5002",结案二部,办结,166,6
248,"2022-05-14","6001",客户回访一组,回访,214,14
249,"2022-05-14","6002",客户回访二组,回访,257,49
250,"2022-05-14","6003",客户回访三组,回访,87,11
251,"2022-05-14","7001",档案管理部,归档,182,32
252,"2022-05-14","8001",异常工单组,挂起,179,30
253,"2022-05-15","1001",客服一部,话务员暂存,63,0
254,"2022-05-15","1001",客服一部,话务员受理,164,24
255,"2022-05-15","1002",客服二部,话务员受理,207,35
256,"2022-05-15","2001",业务一科,话务员办理,193,34
257,"2022-05-15","2002",业务二科,话务员办理,59,10
258,"2022-05-15","3001",热线审核中心,热线审核,170,5
259,"2022-05-15","3002",热线复核中心,热线复核,69,5
260,"2022-05-15","4001",承办单位A,承办单位审核,114,22
261,"2022-05-15","4001",承办单位A,承办单位处理,105,17
262,"2022-05-15","4002",承办单位B,承办单位处理,158,26
263,"2022-05-15","4003",承办复核部A,承办单位复核,81,15
264,"2022-05-15","5001",结案一部,办结,299,21
265,"2022-05-15","5002",结案二部,办结,138,10
266,"2022-05-15","6001",客户回访一组,回访,73,12
267,"2022-05-15","6002",客户回访二组,回访,85,3
268,"2022-05-15","6003",客户回访三组,回访,149,5
269,"2022-05-15","7001",档案管理部,归档,123,13
270,"2022-05-15","8001",异常工单组,挂起,125,19
271,"2022-05-16","1001",客服一部,话务员暂存,215,0
272,"2022-05-16","1001",客服一部,话务员受理,271,37
273,"2022-05-16","1002",客服二部,话务员受理,206,9
274,"2022-05-16","2001",业务一科,话务员办理,207,23
275,"2022-05-16","2002",业务二科,话务员办理,165,33
276,"2022-05-16","3001",热线审核中心,热线审核,186,35
277,"2022-05-16","3002",热线复核中心,热线复核,140,2
278,"2022-05-16","4001",承办单位A,承办单位审核,159,26
279,"2022-05-16","4001",承办单位A,承办单位处理,215,0
280,"2022-05-16","4002",承办单位B,承办单位处理,52,10
281,"2022-05-16","4003",承办复核部A,承办单位复核,277,11
282,"2022-05-16","5001",结案一部,办结,52,2
283,"2022-05-16","5002",结案二部,办结,161,8
284,"2022-05-16","6001",客户回访一组,回访,220,13
285,"2022-05-16","6002",客户回访二组,回访,87,7
286,"2022-05-16","6003",客户回访三组,回访,288,56
287,"2022-05-16","7001",档案管理部,归档,254,16
288,"2022-05-16","8001",异常工单组,挂起,92,18
289,"2022-05-17","1001",客服一部,话务员暂存,89,0
290,"2022-05-17","1001",客服一部,话务员受理,284,18
291,"2022-05-17","1002",客服二部,话务员受理,215,14
292,"2022-05-17","2001",业务一科,话务员办理,230,6
293,"2022-05-17","2002",业务二科,话务员办理,97,11
294,"2022-05-17","3001",热线审核中心,热线审核,56,11
295,"2022-05-17","3002",热线复核中心,热线复核,202,34
296,"2022-05-17","4001",承办单位A,承办单位审核,276,14
297,"2022-05-17","4001",承办单位A,承办单位处理,65,1
298,"2022-05-17","4002",承办单位B,承办单位处理,148,21
299,"2022-05-17","4003",承办复核部A,承办单位复核,286,39
300,"2022-05-17","5001",结案一部,办结,192,32
301,"2022-05-17","5002",结案二部,办结,250,24
302,"2022-05-17","6001",客户回访一组,回访,146,22
303,"2022-05-17","6002",客户回访二组,回访,102,20
304,"2022-05-17","6003",客户回访三组,回访,148,10
305,"2022-05-17","7001",档案管理部,归档,196,32
306,"2022-05-17","8001",异常工单组,挂起,131,23
307,"2022-05-18","1001",客服一部,话务员暂存,286,0
308,"2022-05-18","1001",客服一部,话务员受理,96,18
309,"2022-05-18","1002",客服二部,话务员受理,92,11
310,"2022-05-18","2001",业务一科,话务员办理,88,10
311,"2022-05-18","2002",业务二科,话务员办理,74,14
312,"2022-05-18","3001",热线审核中心,热线审核,226,35
313,"2022-05-18","3002",热线复核中心,热线复核,83,7
314,"2022-05-18","4001",承办单位A,承办单位审核,102,19
315,"2022-05-18","4001",承办单位A,承办单位处理,284,19
316,"2022-05-18","4002",承办单位B,承办单位处理,72,9
317,"2022-05-18","4003",承办复核部A,承办单位复核,67,7
318,"2022-05-18","5001",结案一部,办结,209,20
319,"2022-05-18","5002",结案二部,办结,60,8
320,"2022-05-18","6001",客户回访一组,回访,103,17
321,"2022-05-18","6002",客户回访二组,回访,201,15
322,"2022-05-18","6003",客户回访三组,回访,288,52
323,"2022-05-18","7001",档案管理部,归档,102,8
324,"2022-05-18","8001",异常工单组,挂起,94,3
325,"2022-05-19","1001",客服一部,话务员暂存,115,0
326,"2022-05-19","1001",客服一部,话务员受理,268,36
327,"2022-05-19","1002",客服二部,话务员受理,230,39
328,"2022-05-19","2001",业务一科,话务员办理,286,51
329,"2022-05-19","2002",业务二科,话务员办理,126,3
330,"2022-05-19","3001",热线审核中心,热线审核,281,49
331,"2022-05-19","3002",热线复核中心,热线复核,165,18
332,"2022-05-19","4001",承办单位A,承办单位审核,249,39
333,"2022-05-19","4001",承办单位A,承办单位处理,222,43
334,"2022-05-19","4002",承办单位B,承办单位处理,211,33
335,"2022-05-19","4003",承办复核部A,承办单位复核,216,3
336,"2022-05-19","5001",结案一部,办结,79,15
337,"2022-05-19","5002",结案二部,办结,134,0
338,"2022-05-19","6001",客户回访一组,回访,152,14
339,"2022-05-19","6002",客户回访二组,回访,299,35
340,"2022-05-19","6003",客户回访三组,回访,300,26
341,"2022-05-19","7001",档案管理部,归档,197,9
342,"2022-05-19","8001",异常工单组,挂起,164,2
343,"2022-05-20","1001",客服一部,话务员暂存,274,0
344,"2022-05-20","1001",客服一部,话务员受理,81,14
345,"2022-05-20","1002",客服二部,话务员受理,291,47
346,"2022-05-20","2001",业务一科,话务员办理,265,17
347,"2022-05-20","2002",业务二科,话务员办理,68,1
348,"2022-05-20","3001",热线审核中心,热线审核,71,10
349,"2022-05-20","3002",热线复核中心,热线复核,57,10
350,"2022-05-20","4001",承办单位A,承办单位审核,271,36
351,"2022-05-20","4001",承办单位A,承办单位处理,147,1
352,"2022-05-20","4002",承办单位B,承办单位处理,109,7
353,"2022-05-20","4003",承办复核部A,承办单位复核,191,15
354,"2022-05-20","5001",结案一部,办结,107,1
355,"2022-05-20","5002",结案二部,办结,88,9
356,"2022-05-20","6001",客户回访一组,回访,53,10
357,"2022-05-20","6002",客户回访二组,回访,151,30
358,"2022-05-20","6003",客户回访三组,回访,167,25
359,"2022-05-20","7001",档案管理部,归档,52,1
360,"2022-05-20","8001",异常工单组,挂起,236,7
361,"2022-05-21","1001",客服一部,话务员暂存,186,0
362,"2022-05-21","1001",客服一部,话务员受理,70,1
363,"2022-05-21","1002",客服二部,话务员受理,274,2
364,"2022-05-21","2001",业务一科,话务员办理,126,7
365,"2022-05-21","2002",业务二科,话务员办理,120,4
366,"2022-05-21","3001",热线审核中心,热线审核,240,28
367,"2022-05-21","3002",热线复核中心,热线复核,106,15
368,"2022-05-21","4001",承办单位A,承办单位审核,285,56
369,"2022-05-21","4001",承办单位A,承办单位处理,219,6
370,"2022-05-21","4002",承办单位B,承办单位处理,271,36
371,"2022-05-21","4003",承办复核部A,承办单位复核,268,6
372,"2022-05-21","5001",结案一部,办结,135,12
373,"2022-05-21","5002",结案二部,办结,229,20
374,"2022-05-21","6001",客户回访一组,回访,233,23
375,"2022-05-21","6002",客户回访二组,回访,295,53
376,"2022-05-21","6003",客户回访三组,回访,92,17
377,"2022-05-21","7001",档案管理部,归档,227,9
378,"2022-05-21","8001",异常工单组,挂起,263,26
379,"2022-05-22","1001",客服一部,话务员暂存,100,0
380,"2022-05-22","1001",客服一部,话务员受理,62,4
381,"2022-05-22","1002",客服二部,话务员受理,72,14
382,"2022-05-22","2001",业务一科,话务员办理,101,6
383,"2022-05-22","2002",业务二科,话务员办理,95,6
384,"2022-05-22","3001",热线审核中心,热线审核,72,11
385,"2022-05-22","3002",热线复核中心,热线复核,60,0
386,"2022-05-22","4001",承办单位A,承办单位审核,141,0
387,"2022-05-22","4001",承办单位A,承办单位处理,131,11
388,"2022-05-22","4002",承办单位B,承办单位处理,120,21
389,"2022-05-22","4003",承办复核部A,承办单位复核,97,2
390,"2022-05-22","5001",结案一部,办结,209,19
391,"2022-05-22","5002",结案二部,办结,294,27
392,"2022-05-22","6001",客户回访一组,回访,294,8
393,"2022-05-22","6002",客户回访二组,回访,165,19
394,"2022-05-22","6003",客户回访三组,回访,148,0
395,"2022-05-22","7001",档案管理部,归档,163,14
396,"2022-05-22","8001",异常工单组,挂起,104,2
397,"2022-05-23","1001",客服一部,话务员暂存,141,0
398,"2022-05-23","1001",客服一部,话务员受理,182,14
399,"2022-05-23","1002",客服二部,话务员受理,110,4
400,"2022-05-23","2001",业务一科,话务员办理,100,5
401,"2022-05-23","2002",业务二科,话务员办理,224,8
402,"2022-05-23","3001",热线审核中心,热线审核,104,12
403,"2022-05-23","3002",热线复核中心,热线复核,96,11
404,"2022-05-23","4001",承办单位A,承办单位审核,60,2
405,"2022-05-23","4001",承办单位A,承办单位处理,282,17
406,"2022-05-23","4002",承办单位B,承办单位处理,160,23
407,"2022-05-23","4003",承办复核部A,承办单位复核,215,14
408,"2022-05-23","5001",结案一部,办结,60,12
409,"2022-05-23","5002",结案二部,办结,102,10
410,"2022-05-23","6001",客户回访一组,回访,165,30
411,"2022-05-23","6002",客户回访二组,回访,213,12
412,"2022-05-23","6003",客户回访三组,回访,61,8
413,"2022-05-23","7001",档案管理部,归档,158,5
414,"2022-05-23","8001",异常工单组,挂起,166,2
415,"2022-05-24","1001",客服一部,话务员暂存,66,0
416,"2022-05-24","1001",客服一部,话务员受理,202,7
417,"2022-05-24","1002",客服二部,话务员受理,128,2
418,"2022-05-24","2001",业务一科,话务员办理,86,6
419,"2022-05-24","2002",业务二科,话务员办理,99,10
420,"2022-05-24","3001",热线审核中心,热线审核,231,14
421,"2022-05-24","3002",热线复核中心,热线复核,298,39
422,"2022-05-24","4001",承办单位A,承办单位审核,240,21
423,"2022-05-24","4001",承办单位A,承办单位处理,294,21
424,"2022-05-24","4002",承办单位B,承办单位处理,169,10
425,"2022-05-24","4003",承办复核部A,承办单位复核,76,7
426,"2022-05-24","5001",结案一部,办结,149,2
427,"2022-05-24","5002",结案二部,办结,299,26
428,"2022-05-24","6001",客户回访一组,回访,192,22
429,"2022-05-24","6002",客户回访二组,回访,73,13
430,"2022-05-24","6003",客户回访三组,回访,61,1
431,"2022-05-24","7001",档案管理部,归档,86,6
432,"2022-05-24","8001",异常工单组,挂起,241,48
433,"2022-05-25","1001",客服一部,话务员暂存,193,0
434,"2022-05-25","1001",客服一部,话务员受理,94,14
435,"2022-05-25","1002",客服二部,话务员受理,166,18
436,"2022-05-25","2001",业务一科,话务员办理,289,5
437,"2022-05-25","2002",业务二科,话务员办理,116,21
438,"2022-05-25","3001",热线审核中心,热线审核,218,35
439,"2022-05-25","3002",热线复核中心,热线复核,213,7
440,"2022-05-25","4001",承办单位A,承办单位审核,165,7
441,"2022-05-25","4001",承办单位A,承办单位处理,236,3
