"md_id","busi_date","region_name","org_level","total_orders","process_orders","pending_orders","night_orders","cancelled_orders","avg_response_time","avg_finish_time","first_contact_resolved","escalation_cnt","repeat_cnt","online_channel_cnt","phone_channel_cnt","email_channel_cnt","mobile_app_cnt","alert_timeout_sign_orders","alert_timeout_process_orders","alert_repeat_exceed_orders","alert_sentiment_keyword_orders","high_priority_cnt","medium_priority_cnt","low_priority_cnt","overdue_pct","satisfaction_score","handler_cnt","bot_handled_cnt","handover_cnt","top_keyword_1","top_keyword_1_cnt","top_keyword_2","top_keyword_2_cnt","top_keyword_3","top_keyword_3_cnt","early_response_orders","late_response_orders","avg_wait_time_user","repeat_user_cnt","first_time_user_cnt","multi_channel_user_cnt","escalated_user_cnt","followup_orders","feedback_received_cnt","auto_reply_cnt","manual_reply_cnt","satisfaction_survey_sent","satisfaction_survey_responded","avg_survey_response_time"
1,"2022-05-01",A市,1,437,428,9,183,21,247.55,37.91,122,0,8,186,146,86,19,24,43,14,18,1,162,274,9.45,55.53,2,79,6,燃气,101,安全,96,污染,83,209,168,18.17,135,212,3,24,198,74,4,50,184,71,95.0
2,"2022-05-01",B市,1,404,313,91,91,1,14.0,67.58,29,8,5,101,67,136,100,12,7,15,29,266,76,62,4.12,30.48,8,114,53,交通,321,快递,192,路灯,83,156,104,85.01,199,137,226,300,122,56,298,13,74,70,43.58
3,"2022-05-01",A县,2,347,347,0,27,31,272.36,82.49,103,22,16,129,67,112,39,1,28,4,2,41,135,171,0.68,46.97,19,46,46,停车,342,道路,63,物业,182,273,66,83.89,23,72,16,43,319,182,250,33,144,43,27.53
4,"2022-05-01",B县,2,357,306,51,13,33,86.98,97.99,31,29,1,78,113,73,93,9,12,4,13,156,127,74,15.31,33.77,9,49,56,排水,262,卫生,116,噪音,237,80,147,43.35,19,0,15,3,191,66,208,64,252,202,57.12
5,"2022-05-01",A1镇,3,647,599,48,129,0,269.66,50.41,26,24,21,226,99,159,163,10,45,21,12,201,167,279,12.15,47.69,5,568,33,垃圾,275,噪音,288,消防,541,522,43,54.23,5,51,42,24,502,273,266,217,160,39,58.18
6,"2022-05-01",B1镇,3,964,752,212,417,15,64.57,88.66,29,68,43,32,296,178,458,43,23,0,26,244,333,387,17.95,63.01,11,339,39,道路,142,卫生,359,信号,745,67,805,37.48,58,21,43,75,291,109,547,123,414,237,91.48
7,"2022-05-02",A市,1,366,336,30,58,31,226.8,77.02,15,31,17,33,204,66,63,10,6,0,18,110,93,163,14.69,49.18,14,6,31,维修,315,消防,105,电梯,87,154,74,72.94,266,15,9,155,76,4,195,84,31,30,95.03
8,"2022-05-02",B市,1,221,178,43,27,16,280.82,56.4,20,4,7,51,35,41,94,1,11,1,22,73,78,70,0.66,72.75,3,57,9,违建,77,垃圾,128,污染,151,99,82,97.33,20,1,7,17,118,45,41,70,124,9,47.57
9,"2022-05-02",A县,2,903,884,19,152,55,221.42,60.66,85,51,43,285,207,264,147,47,13,29,18,652,209,42,19.36,75.06,6,245,130,信号,554,交通,527,燃气,802,246,250,25.58,548,330,528,156,653,219,186,310,104,51,15.48
10,"2022-05-02",B县,2,869,747,122,284,66,152.86,48.37,34,42,3,21,295,204,349,64,8,34,15,255,321,293,4.45,59.41,8,659,115,交通,312,外卖,832,垃圾,348,509,136,96.73,69,171,236,50,336,234,293,308,153,146,79.62
