"md_id","busi_time","order_status","order_cnt"
"0","2022-05-01",话务员暂存,56
"1","2022-05-01",话务员受理,52
"2","2022-05-01",话务员办理,86
"3","2022-05-01",热线审核,76
"4","2022-05-01",热线复核,4
"5","2022-05-01",承办单位审核,65
"6","2022-05-01",承办单位处理,52
"7","2022-05-01",承办单位复核,101
"8","2022-05-01",办结,103
"9","2022-05-01",回访,102
"10","2022-05-01",归档,107
"11","2022-05-01",挂起,83
"12","2022-05-02",话务员暂存,34
"13","2022-05-02",话务员受理,22
"14","2022-05-02",话务员办理,78
"15","2022-05-02",热线审核,116
"16","2022-05-02",热线复核,33
"17","2022-05-02",承办单位审核,8
"18","2022-05-02",承办单位处理,98
"19","2022-05-02",承办单位复核,87
"20","2022-05-02",办结,63
"21","2022-05-02",回访,39
"22","2022-05-02",归档,107
"23","2022-05-02",挂起,6
"24","2022-05-03",话务员暂存,44
"25","2022-05-03",话务员受理,47
"26","2022-05-03",话务员办理,95
"27","2022-05-03",热线审核,65
"28","2022-05-03",热线复核,91
"29","2022-05-03",承办单位审核,112
"30","2022-05-03",承办单位处理,126
"31","2022-05-03",承办单位复核,22
"32","2022-05-03",办结,100
"33","2022-05-03",回访,29
"34","2022-05-03",归档,118
"35","2022-05-03",挂起,81
"36","2022-05-04",话务员暂存,58
"37","2022-05-04",话务员受理,20
"38","2022-05-04",话务员办理,86
"39","2022-05-04",热线审核,23
"40","2022-05-04",热线复核,135
"41","2022-05-04",承办单位审核,91
"42","2022-05-04",承办单位处理,92
"43","2022-05-04",承办单位复核,78
"44","2022-05-04",办结,91
"45","2022-05-04",回访,27
"46","2022-05-04",归档,111
"47","2022-05-04",挂起,10
"48","2022-05-05",话务员暂存,69
"49","2022-05-05",话务员受理,62
"50","2022-05-05",话务员办理,77
"51","2022-05-05",热线审核,62
"52","2022-05-05",热线复核,30
"53","2022-05-05",承办单位审核,20
"54","2022-05-05",承办单位处理,52
"55","2022-05-05",承办单位复核,10
"56","2022-05-05",办结,48
"57","2022-05-05",回访,63
"58","2022-05-05",归档,42
"59","2022-05-05",挂起,17
"60","2022-05-06",话务员暂存,112
"61","2022-05-06",话务员受理,28
"62","2022-05-06",话务员办理,2
"63","2022-05-06",热线审核,60
"64","2022-05-06",热线复核,68
"65","2022-05-06",承办单位审核,67
"66","2022-05-06",承办单位处理,76
"67","2022-05-06",承办单位复核,17
"68","2022-05-06",办结,44
"69","2022-05-06",回访,43
