"md_id","busi_time","order_type_name","order_type_cd","total_num"
1,"2022-05-01",咨询,"0100",86
2,"2022-05-01",投诉,"0200",40
3,"2022-05-01",意见建议,"0300",115
4,"2022-05-01",求助,"0400",92
5,"2022-05-01",表扬,"0500",93
6,"2022-05-01",举报,"0600",137
7,"2022-05-01",无效,"0700",14
8,"2022-05-01",其他,"9999",310
9,"2022-05-02",咨询,"0100",84
10,"2022-05-02",投诉,"0200",86
11,"2022-05-02",意见建议,"0300",53
12,"2022-05-02",求助,"0400",79
13,"2022-05-02",表扬,"0500",22
14,"2022-05-02",举报,"0600",20
15,"2022-05-02",无效,"0700",71
16,"2022-05-02",其他,"9999",276
17,"2022-05-03",咨询,"0100",29
18,"2022-05-03",投诉,"0200",65
19,"2022-05-03",意见建议,"0300",74
20,"2022-05-03",求助,"0400",84
21,"2022-05-03",表扬,"0500",138
22,"2022-05-03",举报,"0600",59
23,"2022-05-03",无效,"0700",172
24,"2022-05-03",其他,"9999",309
25,"2022-05-04",咨询,"0100",63
26,"2022-05-04",投诉,"0200",31
27,"2022-05-04",意见建议,"0300",21
28,"2022-05-04",求助,"0400",46
29,"2022-05-04",表扬,"0500",95
30,"2022-05-04",举报,"0600",161
31,"2022-05-04",无效,"0700",47
32,"2022-05-04",其他,"9999",358
33,"2022-05-05",咨询,"0100",17
34,"2022-05-05",投诉,"0200",69
35,"2022-05-05",意见建议,"0300",54
36,"2022-05-05",求助,"0400",66
37,"2022-05-05",表扬,"0500",14
38,"2022-05-05",举报,"0600",47
39,"2022-05-05",无效,"0700",141
40,"2022-05-05",其他,"9999",144
41,"2022-05-06",咨询,"0100",64
42,"2022-05-06",投诉,"0200",46
43,"2022-05-06",意见建议,"0300",95
44,"2022-05-06",求助,"0400",36
45,"2022-05-06",表扬,"0500",60
46,"2022-05-06",举报,"0600",43
47,"2022-05-06",无效,"0700",135
48,"2022-05-06",其他,"9999",212
49,"2022-05-07",咨询,"0100",56
50,"2022-05-07",投诉,"0200",119
51,"2022-05-07",意见建议,"0300",64
52,"2022-05-07",求助,"0400",80
