"md_id","busi_time","sub_name","accept_name","accept_cnt"
0,"2022-05-01",科教文体,电话,7
1,"2022-05-01",公卫医疗,电话,14
2,"2022-05-01",城乡建设,电话,2
3,"2022-05-01",交通运输,电话,7
4,"2022-05-01",农林牧渔,电话,23
5,"2022-05-01",科教文体,来信,3
6,"2022-05-01",公卫医疗,来信,24
7,"2022-05-01",城乡建设,来信,10
8,"2022-05-01",交通运输,来信,2
9,"2022-05-01",农林牧渔,来信,24
10,"2022-05-01",科教文体,网站,4
11,"2022-05-01",公卫医疗,网站,1
12,"2022-05-01",城乡建设,网站,3
13,"2022-05-01",交通运输,网站,4
14,"2022-05-01",农林牧渔,网站,4
15,"2022-05-01",科教文体,小程序/公众号,174
16,"2022-05-01",公卫医疗,小程序/公众号,149
17,"2022-05-01",城乡建设,小程序/公众号,212
18,"2022-05-01",交通运输,小程序/公众号,156
19,"2022-05-01",农林牧渔,小程序/公众号,64
20,"2022-05-02",科教文体,电话,65
21,"2022-05-02",公卫医疗,电话,16
22,"2022-05-02",城乡建设,电话,32
23,"2022-05-02",交通运输,电话,43
24,"2022-05-02",农林牧渔,电话,5
25,"2022-05-02",科教文体,来信,21
26,"2022-05-02",公卫医疗,来信,33
27,"2022-05-02",城乡建设,来信,23
28,"2022-05-02",交通运输,来信,25
29,"2022-05-02",农林牧渔,来信,33
30,"2022-05-02",科教文体,网站,63
31,"2022-05-02",公卫医疗,网站,63
32,"2022-05-02",城乡建设,网站,27
33,"2022-05-02",交通运输,网站,15
34,"2022-05-02",农林牧渔,网站,28
35,"2022-05-02",科教文体,小程序/公众号,16
36,"2022-05-02",公卫医疗,小程序/公众号,49
37,"2022-05-02",城乡建设,小程序/公众号,3
38,"2022-05-02",交通运输,小程序/公众号,68
39,"2022-05-02",农林牧渔,小程序/公众号,63
40,"2022-05-03",科教文体,电话,15
41,"2022-05-03",公卫医疗,电话,36
42,"2022-05-03",城乡建设,电话,25
43,"2022-05-03",交通运输,电话,2
44,"2022-05-03",农林牧渔,电话,9
45,"2022-05-03",科教文体,来信,9
46,"2022-05-03",公卫医疗,来信,10
47,"2022-05-03",城乡建设,来信,9
48,"2022-05-03",交通运输,来信,20
49,"2022-05-03",农林牧渔,来信,8
50,"2022-05-03",科教文体,网站,16
51,"2022-05-03",公卫医疗,网站,19
52,"2022-05-03",城乡建设,网站,12
53,"2022-05-03",交通运输,网站,28
54,"2022-05-03",农林牧渔,网站,7
55,"2022-05-03",科教文体,小程序/公众号,235
56,"2022-05-03",公卫医疗,小程序/公众号,82
57,"2022-05-03",城乡建设,小程序/公众号,109
58,"2022-05-03",交通运输,小程序/公众号,50
59,"2022-05-03",农林牧渔,小程序/公众号,229
60,"2022-05-04",科教文体,电话,15
61,"2022-05-04",公卫医疗,电话,22
62,"2022-05-04",城乡建设,电话,19
63,"2022-05-04",交通运输,电话,11
64,"2022-05-04",农林牧渔,电话,0
65,"2022-05-04",科教文体,来信,9
66,"2022-05-04",公卫医疗,来信,5
67,"2022-05-04",城乡建设,来信,6
68,"2022-05-04",交通运输,来信,17
69,"2022-05-04",农林牧渔,来信,11
70,"2022-05-04",科教文体,网站,75
71,"2022-05-04",公卫医疗,网站,47
72,"2022-05-04",城乡建设,网站,24
73,"2022-05-04",交通运输,网站,55
74,"2022-05-04",农林牧渔,网站,10
75,"2022-05-04",科教文体,小程序/公众号,63
76,"2022-05-04",公卫医疗,小程序/公众号,123
77,"2022-05-04",城乡建设,小程序/公众号,66
78,"2022-05-04",交通运输,小程序/公众号,173
79,"2022-05-04",农林牧渔,小程序/公众号,71
80,"2022-05-05",科教文体,电话,16
81,"2022-05-05",公卫医疗,电话,14
82,"2022-05-05",城乡建设,电话,13
83,"2022-05-05",交通运输,电话,25
84,"2022-05-05",农林牧渔,电话,27
85,"2022-05-05",科教文体,来信,17
86,"2022-05-05",公卫医疗,来信,23
87,"2022-05-05",城乡建设,来信,1
88,"2022-05-05",交通运输,来信,14
89,"2022-05-05",农林牧渔,来信,41
90,"2022-05-05",科教文体,网站,14
91,"2022-05-05",公卫医疗,网站,14
92,"2022-05-05",城乡建设,网站,3
93,"2022-05-05",交通运输,网站,8
94,"2022-05-05",农林牧渔,网站,0
95,"2022-05-05",科教文体,小程序/公众号,24
96,"2022-05-05",公卫医疗,小程序/公众号,108
97,"2022-05-05",城乡建设,小程序/公众号,95
98,"2022-05-05",交通运输,小程序/公众号,25
99,"2022-05-05",农林牧渔,小程序/公众号,70
100,"2022-05-06",科教文体,电话,49
101,"2022-05-06",公卫医疗,电话,32
102,"2022-05-06",城乡建设,电话,12
