"md_id","busi_time","sub_name","area","order_cnt","finish_cnt","avg_handler_time","satisfaction_cnt","negative_cnt","reply_on_time_cnt"
53506,"2022-05-01",科教文体,A区,36,31,2.73,27,1,28
53507,"2022-05-01",科教文体,B区,27,25,3.37,17,2,22
53508,"2022-05-01",科教文体,C区,25,20,1.18,18,0,16
53509,"2022-05-01",科教文体,D区,28,22,1.49,15,3,20
53510,"2022-05-01",科教文体,E区,31,31,1.74,23,0,24
53511,"2022-05-01",科教文体,F区,21,20,4.93,15,2,18
53512,"2022-05-01",科教文体,G区,28,25,1.82,22,3,21
53513,"2022-05-01",科教文体,H区,28,22,2.73,19,1,20
53514,"2022-05-01",科教文体,I区,26,22,4.12,16,2,21
53515,"2022-05-01",公卫医疗,A区,9,9,3.61,7,1,8
53516,"2022-05-01",公卫医疗,B区,3,3,1.02,2,0,2
53517,"2022-05-01",公卫医疗,C区,10,8,1.86,5,0,7
53518,"2022-05-01",公卫医疗,D区,6,5,3.53,3,0,4
53519,"2022-05-01",公卫医疗,E区,9,8,4.02,6,1,8
53520,"2022-05-01",公卫医疗,F区,8,7,3.83,5,1,5
53521,"2022-05-01",公卫医疗,G区,12,11,2.32,9,1,11
53522,"2022-05-01",公卫医疗,H区,12,11,3.05,7,0,10
53523,"2022-05-01",公卫医疗,I区,4,3,4.56,2,0,2
53524,"2022-05-01",城乡建设,A区,18,18,1.84,12,1,15
53525,"2022-05-01",城乡建设,B区,24,24,4.3,20,0,23
53526,"2022-05-01",城乡建设,C区,27,24,3.81,20,2,21
53527,"2022-05-01",城乡建设,D区,29,23,1.87,20,2,21
53528,"2022-05-01",城乡建设,E区,25,22,3.51,16,3,18
53529,"2022-05-01",城乡建设,F区,25,20,1.39,18,2,17
53530,"2022-05-01",城乡建设,G区,29,29,1.51,25,2,28
53531,"2022-05-01",城乡建设,H区,27,24,2.46,19,2,24
53532,"2022-05-01",城乡建设,I区,19,15,3.75,13,0,15
53533,"2022-05-01",交通运输,A区,18,16,1.69,11,1,13
53534,"2022-05-01",交通运输,B区,26,23,2.72,16,1,22
53535,"2022-05-01",交通运输,C区,26,22,3.99,18,2,19
53536,"2022-05-01",交通运输,D区,23,20,3.1,17,2,17
