"md_id","busi_time","sub_name","assess_cnt","satisfaction_one_cnt","satisfaction_two_cnt","satisfaction_three_cnt","satisfaction_four_cnt","satisfaction_five_cnt","satisfaction_zero_cnt"
0,"2022-05-01",科教文体,206,4,20,50,114,15,3
1,"2022-05-01",公卫医疗,216,5,14,69,118,8,2
2,"2022-05-01",城乡建设,423,12,31,115,246,18,1
3,"2022-05-01",交通运输,62,1,5,18,35,3,0
4,"2022-05-01",农林牧渔,44,0,3,13,25,3,0
5,"2022-05-02",科教文体,711,12,50,203,401,38,7
6,"2022-05-02",公卫医疗,66,0,6,18,39,2,1
7,"2022-05-02",城乡建设,336,5,20,97,187,23,4
8,"2022-05-02",交通运输,66,2,7,20,33,4,0
9,"2022-05-02",农林牧渔,534,9,39,180,273,28,5
10,"2022-05-03",科教文体,209,1,9,68,120,11,0
11,"2022-05-03",公卫医疗,59,1,6,13,37,1,1
12,"2022-05-03",城乡建设,229,4,19,65,124,14,3
13,"2022-05-03",交通运输,623,8,45,174,355,35,6
14,"2022-05-03",农林牧渔,97,0,6,28,53,7,3
15,"2022-05-04",科教文体,172,1,9,56,95,9,2
16,"2022-05-04",公卫医疗,29,2,6,8,11,2,0
17,"2022-05-04",城乡建设,497,7,35,161,262,29,3
18,"2022-05-04",交通运输,59,1,3,15,33,5,2
19,"2022-05-04",农林牧渔,281,6,10,88,164,10,3
20,"2022-05-05",科教文体,80,1,6,20,46,5,2
21,"2022-05-05",公卫医疗,210,4,7,65,118,14,2
22,"2022-05-05",城乡建设,161,2,9,46,91,11,2
23,"2022-05-05",交通运输,291,4,17,97,157,15,1
24,"2022-05-05",农林牧渔,109,2,10,31,59,5,2
25,"2022-05-06",科教文体,224,3,17,68,119,17,0
26,"2022-05-06",公卫医疗,359,9,16,110,198,20,6
27,"2022-05-06",城乡建设,345,7,20,114,179,21,4
28,"2022-05-06",交通运输,520,13,38,141,286,33,9
29,"2022-05-06",农林牧渔,134,2,11,35,74,10,2
30,"2022-05-07",科教文体,600,16,43,179,321,34,7
31,"2022-05-07",公卫医疗,141,1,10,37,89,3,1
32,"2022-05-07",城乡建设,409,6,31,109,242,20,1
33,"2022-05-07",交通运输,45,0,5,15,21,4,0
34,"2022-05-07",农林牧渔,21,0,2,1,17,1,0
35,"2022-05-08",科教文体,99,2,11,29,52,5,0
36,"2022-05-08",公卫医疗,216,2,14,66,122,9,3
37,"2022-05-08",城乡建设,194,0,10,72,102,9,1
38,"2022-05-08",交通运输,651,9,48,197,357,32,8
39,"2022-05-08",农林牧渔,37,1,0,13,21,2,0
40,"2022-05-09",科教文体,889,19,62,302,452,50,4
41,"2022-05-09",公卫医疗,187,0,14,63,93,15,2
42,"2022-05-09",城乡建设,433,12,26,125,240,26,4
43,"2022-05-09",交通运输,31,1,2,9,17,1,1
44,"2022-05-09",农林牧渔,5,0,0,1,4,0,0
45,"2022-05-10",科教文体,148,1,7,50,84,5,1
46,"2022-05-10",公卫医疗,48,1,3,13,26,4,1
47,"2022-05-10",城乡建设,403,10,35,112,215,22,9
48,"2022-05-10",交通运输,849,14,53,267,459,51,5
49,"2022-05-10",农林牧渔,80,1,8,22,43,5,1
50,"2022-05-11",科教文体,331,8,26,92,191,12,2
51,"2022-05-11",公卫医疗,141,3,8,41,84,4,1
52,"2022-05-11",城乡建设,349,6,25,110,192,13,3
53,"2022-05-11",交通运输,23,0,0,7,13,3,0
54,"2022-05-11",农林牧渔,84,1,5,18,54,4,2
55,"2022-05-12",科教文体,102,3,3,29,60,6,1
56,"2022-05-12",公卫医疗,38,1,3,10,17,5,2
57,"2022-05-12",城乡建设,304,6,19,94,168,15,2
58,"2022-05-12",交通运输,562,9,41,149,317,35,11
59,"2022-05-12",农林牧渔,362,10,23,108,195,23,3
60,"2022-05-13",科教文体,323,6,20,97,181,16,3
61,"2022-05-13",公卫医疗,425,4,27,125,251,16,2
62,"2022-05-13",城乡建设,34,0,2,11,18,3,0
63,"2022-05-13",交通运输,251,2,19,79,135,13,3
64,"2022-05-13",农林牧渔,102,4,10,28,55,5,0
65,"2022-05-14",科教文体,19,0,1,2,16,0,0
66,"2022-05-14",公卫医疗,225,4,22,64,122,9,4
67,"2022-05-14",城乡建设,273,4,21,82,154,10,2
68,"2022-05-14",交通运输,638,13,36,209,347,28,5
69,"2022-05-14",农林牧渔,296,2,16,74,186,14,4
70,"2022-05-15",科教文体,699,12,45,240,359,37,6
71,"2022-05-15",公卫医疗,84,0,11,24,44,5,0
72,"2022-05-15",城乡建设,386,7,34,113,207,20,5
73,"2022-05-15",交通运输,167,4,13,42,100,8,0
74,"2022-05-15",农林牧渔,644,9,42,203,358,26,6
75,"2022-05-16",科教文体,99,1,2,25,63,6,2
76,"2022-05-16",公卫医疗,385,16,23,115,207,19,5
77,"2022-05-16",城乡建设,435,10,28,114,255,22,6
78,"2022-05-16",交通运输,507,9,34,157,278,24,5
79,"2022-05-16",农林牧渔,246,7,23,89,120,7,0
80,"2022-05-17",科教文体,11,0,1,3,6,1,0
81,"2022-05-17",公卫医疗,107,0,5,25,73,4,0
82,"2022-05-17",城乡建设,31,0,1,9,19,1,1
83,"2022-05-17",交通运输,335,6,31,83,187,23,5
84,"2022-05-17",农林牧渔,406,7,24,138,217,14,6
85,"2022-05-18",科教文体,311,3,30,101,151,23,3
86,"2022-05-18",公卫医疗,68,0,2,20,44,2,0
87,"2022-05-18",城乡建设,615,14,35,172,365,25,4
88,"2022-05-18",交通运输,19,1,0,9,8,1,0
89,"2022-05-18",农林牧渔,412,11,20,126,230,22,3
90,"2022-05-19",科教文体,365,3,26,115,203,12,6
91,"2022-05-19",公卫医疗,95,4,2,30,53,5,1
92,"2022-05-19",城乡建设,115,3,6,35,62,7,2
93,"2022-05-19",交通运输,291,5,18,74,169,19,6
94,"2022-05-19",农林牧渔,141,3,14,45,72,5,2
95,"2022-05-20",科教文体,1015,22,73,317,543,45,15
96,"2022-05-20",公卫医疗,184,0,10,56,113,5,0
97,"2022-05-20",城乡建设,69,1,5,25,33,4,1
98,"2022-05-20",交通运输,72,3,3,23,40,3,0
99,"2022-05-20",农林牧渔,189,7,13,52,100,14,3
100,"2022-05-21",科教文体,222,3,13,74,117,11,4
101,"2022-05-21",公卫医疗,71,0,5,24,40,1,1
102,"2022-05-21",城乡建设,13,1,1,6,5,0,0
103,"2022-05-21",交通运输,113,1,7,35,66,2,2
104,"2022-05-21",农林牧渔,256,4,18,82,131,15,6
105,"2022-05-22",科教文体,484,10,46,154,242,23,9
106,"2022-05-22",公卫医疗,381,8,23,108,213,25,4
107,"2022-05-22",城乡建设,32,1,2,12,16,1,0
108,"2022-05-22",交通运输,497,9,32,159,269,25,3
109,"2022-05-22",农林牧渔,4,0,0,1,2,1,0
110,"2022-05-23",科教文体,302,6,17,88,171,17,3
111,"2022-05-23",公卫医疗,452,11,30,133,251,21,6
112,"2022-05-23",城乡建设,246,2,12,86,135,7,4
113,"2022-05-23",交通运输,425,6,20,124,248,21,6
114,"2022-05-23",农林牧渔,181,3,15,57,94,8,4
115,"2022-05-24",科教文体,181,5,11,55,100,10,0
116,"2022-05-24",公卫医疗,82,2,5,18,55,1,1
117,"2022-05-24",城乡建设,744,14,40,229,415,41,5
118,"2022-05-24",交通运输,305,7,21,83,176,17,1
119,"2022-05-24",农林牧渔,381,5,28,116,200,29,3
120,"2022-05-25",科教文体,277,9,19,90,148,9,2
121,"2022-05-25",公卫医疗,125,4,11,43,63,4,0
122,"2022-05-25",城乡建设,187,4,11,55,105,8,4
123,"2022-05-25",交通运输,830,13,48,241,478,40,10
124,"2022-05-25",农林牧渔,18,0,1,7,8,2,0
125,"2022-05-26",科教文体,162,3,10,51,89,8,1
126,"2022-05-26",公卫医疗,278,6,21,69,172,8,2
127,"2022-05-26",城乡建设,289,5,24,76,160,17,7
128,"2022-05-26",交通运输,263,2,25,63,165,6,2
129,"2022-05-26",农林牧渔,353,7,28,110,187,19,2
130,"2022-05-27",科教文体,128,0,8,51,58,10,1
131,"2022-05-27",公卫医疗,358,8,27,104,196,18,5
132,"2022-05-27",城乡建设,123,4,10,38,63,7,1
133,"2022-05-27",交通运输,1163,23,77,332,666,55,10
134,"2022-05-27",农林牧渔,60,2,4,18,28,7,1
135,"2022-05-28",科教文体,276,5,21,76,157,16,1
136,"2022-05-28",公卫医疗,306,5,21,111,155,11,3
137,"2022-05-28",城乡建设,5,0,0,2,3,0,0
