"md_id","busi_time","sub_name","name","type_name","item_num","complete_cnt","avg_handler_time","satisfaction_cnt"
1,"2022-05-01",科教文体,B部门,"1",111,78,47,72
2,"2022-05-01",科教文体,A区,"2",139,111,39,101
3,"2022-05-01",公卫医疗,C部门,"1",38,33,36,28
4,"2022-05-01",公卫医疗,B区,"2",35,29,34,24
5,"2022-05-01",城乡建设,B部门,"1",65,57,11,46
6,"2022-05-01",城乡建设,B区,"2",158,120,24,102
7,"2022-05-01",交通运输,C部门,"1",45,42,40,38
8,"2022-05-01",交通运输,B区,"2",157,121,19,114
9,"2022-05-01",农林牧渔,C部门,"1",78,66,51,62
10,"2022-05-01",农林牧渔,A区,"2",61,46,51,39
11,"2022-05-02",科教文体,B部门,"1",43,40,10,34
12,"2022-05-02",科教文体,A区,"2",31,26,38,23
13,"2022-05-02",公卫医疗,B部门,"1",63,47,26,39
14,"2022-05-02",公卫医疗,A区,"2",173,142,22,130
15,"2022-05-02",城乡建设,A部门,"1",27,21,46,16
16,"2022-05-02",城乡建设,B区,"2",129,113,39,90
17,"2022-05-02",交通运输,C部门,"1",121,105,38,93
18,"2022-05-02",交通运输,B区,"2",57,41,10,38
19,"2022-05-02",农林牧渔,C部门,"1",43,38,28,34
20,"2022-05-02",农林牧渔,B区,"2",4,3,30,2
21,"2022-05-03",科教文体,C部门,"1",269,210,53,181
22,"2022-05-03",科教文体,B区,"2",20,15,60,13
23,"2022-05-03",公卫医疗,A部门,"1",95,83,29,68
24,"2022-05-03",公卫医疗,B区,"2",36,32,10,29
25,"2022-05-03",城乡建设,A部门,"1",15,10,28,8
26,"2022-05-03",城乡建设,C区,"2",19,17,41,15
27,"2022-05-03",交通运输,B部门,"1",370,292,26,237
28,"2022-05-03",交通运输,A区,"2",63,48,25,38
29,"2022-05-03",农林牧渔,A部门,"1",13,9,58,7
30,"2022-05-03",农林牧渔,B区,"2",30,26,35,23
31,"2022-05-04",科教文体,C部门,"1",25,18,57,15
32,"2022-05-04",科教文体,C区,"2",9,6,49,5
33,"2022-05-04",公卫医疗,C部门,"1",38,30,40,25
34,"2022-05-04",公卫医疗,C区,"2",161,120,25,109
35,"2022-05-04",城乡建设,B部门,"1",178,126,29,118
36,"2022-05-04",城乡建设,B区,"2",19,13,53,11
37,"2022-05-04",交通运输,B部门,"1",262,186,48,151
38,"2022-05-04",交通运输,C区,"2",50,39,41,33
39,"2022-05-04",农林牧渔,B部门,"1",26,18,13,15
40,"2022-05-04",农林牧渔,C区,"2",54,39,57,35
41,"2022-05-05",科教文体,C部门,"1",69,58,51,55
42,"2022-05-05",科教文体,C区,"2",12,10,13,8
43,"2022-05-05",公卫医疗,A部门,"1",50,36,10,28
44,"2022-05-05",公卫医疗,A区,"2",73,57,51,50
45,"2022-05-05",城乡建设,A部门,"1",21,17,12,15
46,"2022-05-05",城乡建设,B区,"2",48,34,13,28
47,"2022-05-05",交通运输,C部门,"1",83,69,57,60
48,"2022-05-05",交通运输,B区,"2",11,9,29,8
49,"2022-05-05",农林牧渔,C部门,"1",6,4,47,3
50,"2022-05-05",农林牧渔,C区,"2",179,152,25,135
51,"2022-05-06",科教文体,C部门,"1",182,167,10,151
52,"2022-05-06",科教文体,B区,"2",77,62,23,54
53,"2022-05-06",公卫医疗,C部门,"1",50,43,58,39
54,"2022-05-06",公卫医疗,C区,"2",111,98,51,86
55,"2022-05-06",城乡建设,C部门,"1",106,98,16,84
56,"2022-05-06",城乡建设,A区,"2",55,45,51,39
57,"2022-05-06",交通运输,B部门,"1",16,13,34,11
58,"2022-05-06",交通运输,A区,"2",43,35,37,31
59,"2022-05-06",农林牧渔,A部门,"1",40,35,41,30
60,"2022-05-06",农林牧渔,A区,"2",11,8,27,6
61,"2022-05-07",科教文体,A部门,"1",14,12,19,9
62,"2022-05-07",科教文体,B区,"2",22,16,30,13
63,"2022-05-07",公卫医疗,A部门,"1",130,102,35,88
64,"2022-05-07",公卫医疗,A区,"2",21,18,55,16
65,"2022-05-07",城乡建设,B部门,"1",226,180,49,157
66,"2022-05-07",城乡建设,B区,"2",2,1,12,0
67,"2022-05-07",交通运输,A部门,"1",1,0,59,0
68,"2022-05-07",交通运输,B区,"2",295,257,47,211
69,"2022-05-07",农林牧渔,B部门,"1",210,175,31,159
70,"2022-05-07",农林牧渔,B区,"2",72,53,57,46
71,"2022-05-08",科教文体,A部门,"1",151,117,25,104
72,"2022-05-08",科教文体,B区,"2",36,26,46,23
73,"2022-05-08",公卫医疗,C部门,"1",33,26,51,24
74,"2022-05-08",公卫医疗,C区,"2",73,67,18,62
75,"2022-05-08",城乡建设,C部门,"1",120,96,56,80
76,"2022-05-08",城乡建设,B区,"2",15,10,27,8
77,"2022-05-08",交通运输,B部门,"1",80,73,57,64
78,"2022-05-08",交通运输,B区,"2",61,50,16,41
79,"2022-05-08",农林牧渔,A部门,"1",20,15,60,13
80,"2022-05-08",农林牧渔,B区,"2",212,156,53,140
81,"2022-05-09",科教文体,B部门,"1",1,0,53,0
82,"2022-05-09",科教文体,C区,"2",0,0,54,0
83,"2022-05-09",公卫医疗,B部门,"1",275,234,51,212
84,"2022-05-09",公卫医疗,B区,"2",70,58,28,51
85,"2022-05-09",城乡建设,B部门,"1",23,19,31,16
86,"2022-05-09",城乡建设,B区,"2",6,4,12,3
87,"2022-05-09",交通运输,A部门,"1",27,23,41,19
88,"2022-05-09",交通运输,A区,"2",201,152,21,125
89,"2022-05-09",农林牧渔,B部门,"1",4,3,48,2
90,"2022-05-09",农林牧渔,A区,"2",1,0,13,0
91,"2022-05-10",科教文体,B部门,"1",31,25,43,22
92,"2022-05-10",科教文体,A区,"2",0,0,21,0
93,"2022-05-10",公卫医疗,B部门,"1",157,145,57,123
94,"2022-05-10",公卫医疗,B区,"2",8,6,12,5
95,"2022-05-10",城乡建设,A部门,"1",149,106,20,99
96,"2022-05-10",城乡建设,A区,"2",12,9,17,7
97,"2022-05-10",交通运输,B部门,"1",9,8,54,6
98,"2022-05-10",交通运输,B区,"2",48,40,60,32
99,"2022-05-10",农林牧渔,B部门,"1",209,168,25,143
100,"2022-05-10",农林牧渔,C区,"2",13,11,56,9
101,"2022-05-11",科教文体,C部门,"1",89,69,23,61
102,"2022-05-11",科教文体,C区,"2",13,11,16,8
103,"2022-05-11",公卫医疗,C部门,"1",23,21,47,17
104,"2022-05-11",公卫医疗,A区,"2",206,150,45,129
105,"2022-05-11",城乡建设,B部门,"1",27,23,53,21
106,"2022-05-11",城乡建设,B区,"2",166,141,32,125
107,"2022-05-11",交通运输,C部门,"1",52,38,24,31
108,"2022-05-11",交通运输,B区,"2",33,29,57,24
109,"2022-05-11",农林牧渔,C部门,"1",15,12,47,10
110,"2022-05-11",农林牧渔,B区,"2",30,22,27,20
111,"2022-05-12",科教文体,C部门,"1",68,58,29,51
112,"2022-05-12",科教文体,B区,"2",71,57,50,46
113,"2022-05-12",公卫医疗,C部门,"1",59,44,42,40
114,"2022-05-12",公卫医疗,A区,"2",108,93,40,75
115,"2022-05-12",城乡建设,A部门,"1",36,31,12,24
116,"2022-05-12",城乡建设,C区,"2",125,90,11,80
117,"2022-05-12",交通运输,A部门,"1",54,49,42,42
118,"2022-05-12",交通运输,A区,"2",78,62,22,56
119,"2022-05-12",农林牧渔,A部门,"1",112,103,39,92
120,"2022-05-12",农林牧渔,B区,"2",61,43,11,40
121,"2022-05-13",科教文体,B部门,"1",9,7,39,6
122,"2022-05-13",科教文体,C区,"2",36,32,57,28
123,"2022-05-13",公卫医疗,C部门,"1",66,47,21,40
124,"2022-05-13",公卫医疗,A区,"2",112,96,30,81
125,"2022-05-13",城乡建设,B部门,"1",15,12,14,9
126,"2022-05-13",城乡建设,B区,"2",6,4,37,3
127,"2022-05-13",交通运输,A部门,"1",5,3,15,2
128,"2022-05-13",交通运输,A区,"2",79,68,16,64
129,"2022-05-13",农林牧渔,A部门,"1",30,26,53,22
130,"2022-05-13",农林牧渔,C区,"2",2,1,49,0
131,"2022-05-14",科教文体,C部门,"1",0,0,12,0
132,"2022-05-14",科教文体,A区,"2",163,152,38,129
133,"2022-05-14",公卫医疗,B部门,"1",53,49,40,43
134,"2022-05-14",公卫医疗,B区,"2",37,27,21,25
135,"2022-05-14",城乡建设,B部门,"1",20,18,44,16
136,"2022-05-14",城乡建设,B区,"2",72,52,33,42
137,"2022-05-14",交通运输,B部门,"1",11,7,15,5
138,"2022-05-14",交通运输,C区,"2",79,71,23,57
139,"2022-05-14",农林牧渔,B部门,"1",149,113,39,101
140,"2022-05-14",农林牧渔,B区,"2",1,0,52,0
141,"2022-05-15",科教文体,B部门,"1",39,30,57,26
142,"2022-05-15",科教文体,B区,"2",20,15,15,12
143,"2022-05-15",公卫医疗,B部门,"1",5,4,16,3
144,"2022-05-15",公卫医疗,B区,"2",25,17,42,14
145,"2022-05-15",城乡建设,B部门,"1",10,8,42,7
146,"2022-05-15",城乡建设,C区,"2",0,0,28,0
147,"2022-05-15",交通运输,B部门,"1",2,1,11,0
148,"2022-05-15",交通运输,B区,"2",163,127,56,115
149,"2022-05-15",农林牧渔,B部门,"1",49,38,11,33
150,"2022-05-15",农林牧渔,B区,"2",52,42,16,39
151,"2022-05-16",科教文体,B部门,"1",109,79,43,68
152,"2022-05-16",科教文体,B区,"2",82,68,33,60
153,"2022-05-16",公卫医疗,A部门,"1",30,24,43,22
154,"2022-05-16",公卫医疗,B区,"2",162,130,43,105
155,"2022-05-16",城乡建设,C部门,"1",8,6,15,5
156,"2022-05-16",城乡建设,C区,"2",130,105,27,91
157,"2022-05-16",交通运输,C部门,"1",145,130,16,109
158,"2022-05-16",交通运输,C区,"2",32,22,20,19
159,"2022-05-16",农林牧渔,C部门,"1",3,2,18,1
160,"2022-05-16",农林牧渔,A区,"2",0,0,22,0
161,"2022-05-17",科教文体,A部门,"1",3,2,41,1
162,"2022-05-17",科教文体,A区,"2",30,22,38,19
163,"2022-05-17",公卫医疗,B部门,"1",108,100,48,85
164,"2022-05-17",公卫医疗,C区,"2",36,27,43,22
165,"2022-05-17",城乡建设,C部门,"1",40,30,23,25
166,"2022-05-17",城乡建设,B区,"2",37,31,24,25
167,"2022-05-17",交通运输,C部门,"1",73,57,50,50
168,"2022-05-17",交通运输,A区,"2",83,59,54,47
169,"2022-05-17",农林牧渔,C部门,"1",71,52,43,46
170,"2022-05-17",农林牧渔,B区,"2",76,69,38,58
171,"2022-05-18",科教文体,B部门,"1",77,53,16,49
172,"2022-05-18",科教文体,A区,"2",72,56,38,50
173,"2022-05-18",公卫医疗,C部门,"1",12,8,38,7
174,"2022-05-18",公卫医疗,C区,"2",166,125,10,114
175,"2022-05-18",城乡建设,C部门,"1",138,129,20,107
176,"2022-05-18",城乡建设,C区,"2",140,132,44,106
177,"2022-05-18",交通运输,C部门,"1",164,144,44,121
178,"2022-05-18",交通运输,A区,"2",59,48,39,40
179,"2022-05-18",农林牧渔,B部门,"1",16,13,32,11
180,"2022-05-18",农林牧渔,B区,"2",15,11,55,9
181,"2022-05-19",科教文体,C部门,"1",102,79,25,73
182,"2022-05-19",科教文体,B区,"2",77,63,12,55
183,"2022-05-19",公卫医疗,B部门,"1",81,67,13,62
184,"2022-05-19",公卫医疗,A区,"2",87,66,25,61
185,"2022-05-19",城乡建设,A部门,"1",102,92,52,84
186,"2022-05-19",城乡建设,C区,"2",132,93,34,74
187,"2022-05-19",交通运输,C部门,"1",86,77,47,69
188,"2022-05-19",交通运输,C区,"2",87,68,21,60
189,"2022-05-19",农林牧渔,A部门,"1",45,41,14,38
190,"2022-05-19",农林牧渔,B区,"2",109,97,18,83
191,"2022-05-20",科教文体,C部门,"1",151,123,42,110
192,"2022-05-20",科教文体,A区,"2",5,3,39,2
193,"2022-05-20",公卫医疗,C部门,"1",63,56,30,46
194,"2022-05-20",公卫医疗,B区,"2",11,9,28,7
195,"2022-05-20",城乡建设,C部门,"1",4,3,15,2
196,"2022-05-20",城乡建设,B区,"2",18,15,10,14
197,"2022-05-20",交通运输,C部门,"1",16,14,40,12
198,"2022-05-20",交通运输,C区,"2",35,25,53,23
199,"2022-05-20",农林牧渔,B部门,"1",53,44,15,37
200,"2022-05-20",农林牧渔,C区,"2",29,24,16,21
201,"2022-05-21",科教文体,C部门,"1",15,13,16,10
202,"2022-05-21",科教文体,C区,"2",22,20,45,16
203,"2022-05-21",公卫医疗,A部门,"1",28,23,53,18
204,"2022-05-21",公卫医疗,A区,"2",70,59,29,50
205,"2022-05-21",城乡建设,C部门,"1",61,55,41,48
206,"2022-05-21",城乡建设,C区,"2",44,37,11,29
207,"2022-05-21",交通运输,A部门,"1",76,58,37,50
208,"2022-05-21",交通运输,A区,"2",5,4,56,3
209,"2022-05-21",农林牧渔,A部门,"1",27,19,49,16
210,"2022-05-21",农林牧渔,C区,"2",27,20,27,17
211,"2022-05-22",科教文体,A部门,"1",65,54,27,49
212,"2022-05-22",科教文体,C区,"2",129,103,23,91
213,"2022-05-22",公卫医疗,C部门,"1",14,10,17,8
214,"2022-05-22",公卫医疗,A区,"2",36,33,13,28
215,"2022-05-22",城乡建设,B部门,"1",89,78,38,67
216,"2022-05-22",城乡建设,A区,"2",1,0,42,0
217,"2022-05-22",交通运输,B部门,"1",32,23,48,18
218,"2022-05-22",交通运输,A区,"2",4,3,43,2
219,"2022-05-22",农林牧渔,B部门,"1",33,23,41,19
220,"2022-05-22",农林牧渔,A区,"2",16,12,26,10
221,"2022-05-23",科教文体,C部门,"1",12,10,34,8
222,"2022-05-23",科教文体,C区,"2",5,4,19,3
223,"2022-05-23",公卫医疗,C部门,"1",329,249,34,231
224,"2022-05-23",公卫医疗,C区,"2",159,138,51,113
225,"2022-05-23",城乡建设,C部门,"1",13,11,30,8
226,"2022-05-23",城乡建设,B区,"2",139,124,30,99
227,"2022-05-23",交通运输,B部门,"1",42,38,11,33
228,"2022-05-23",交通运输,B区,"2",131,109,12,90
229,"2022-05-23",农林牧渔,C部门,"1",21,14,58,12
230,"2022-05-23",农林牧渔,B区,"2",0,0,29,0
231,"2022-05-24",科教文体,A部门,"1",185,167,27,157
232,"2022-05-24",科教文体,A区,"2",50,40,57,36
233,"2022-05-24",公卫医疗,C部门,"1",199,139,13,123
234,"2022-05-24",公卫医疗,C区,"2",101,83,41,67
235,"2022-05-24",城乡建设,C部门,"1",152,118,30,98
236,"2022-05-24",城乡建设,B区,"2",155,141,11,119
237,"2022-05-24",交通运输,A部门,"1",12,8,60,6
238,"2022-05-24",交通运输,B区,"2",61,46,21,36
239,"2022-05-24",农林牧渔,B部门,"1",5,3,55,2
240,"2022-05-24",农林牧渔,C区,"2",3,2,11,1
