"md_id","busi_time","sub_name","top_name","satisfaction_cnt","top_cnt"
0,"2022-05-01",科教文体,科技事务,43,47
1,"2022-05-01",科教文体,教育管理,63,67
2,"2022-05-01",科教文体,文化管理,66,74
3,"2022-05-01",科教文体,体育管理,32,33
4,"2022-05-01",科教文体,社会教育,27,29
5,"2022-05-01",公卫医疗,人口计生,22,23
6,"2022-05-01",公卫医疗,卫生保健,8,9
7,"2022-05-01",公卫医疗,医疗服务,11,12
8,"2022-05-01",公卫医疗,公共卫生,17,18
9,"2022-05-01",公卫医疗,医药管理,10,11
10,"2022-05-01",城乡建设,住房公积金,118,130
11,"2022-05-01",城乡建设,房屋管理,43,46
12,"2022-05-01",城乡建设,市容市貌,11,12
13,"2022-05-01",城乡建设,城乡规划,15,17
14,"2022-05-01",城乡建设,城市设施管理,17,18
15,"2022-05-01",交通运输,快递物流,37,40
16,"2022-05-01",交通运输,公共汽车,21,25
17,"2022-05-01",交通运输,公共自行车,83,89
18,"2022-05-01",交通运输,出租汽车,37,43
19,"2022-05-01",交通运输,城际客运,5,5
20,"2022-05-01",农林牧渔,农业管理,21,25
21,"2022-05-01",农林牧渔,林业管理,32,35
22,"2022-05-01",农林牧渔,渔业管理,32,33
23,"2022-05-01",农林牧渔,畜牧业管理,40,46
24,"2022-05-02",科教文体,科技事务,17,19
25,"2022-05-02",科教文体,教育管理,13,14
26,"2022-05-02",科教文体,文化管理,17,20
27,"2022-05-02",科教文体,体育管理,5,6
28,"2022-05-02",科教文体,社会教育,14,15
29,"2022-05-02",公卫医疗,人口计生,52,59
30,"2022-05-02",公卫医疗,卫生保健,45,51
31,"2022-05-02",公卫医疗,医疗服务,52,58
32,"2022-05-02",公卫医疗,公共卫生,28,33
33,"2022-05-02",公卫医疗,医药管理,33,35
34,"2022-05-02",城乡建设,住房公积金,46,51
35,"2022-05-02",城乡建设,房屋管理,18,21
36,"2022-05-02",城乡建设,市容市貌,58,60
37,"2022-05-02",城乡建设,城乡规划,14,15
38,"2022-05-02",城乡建设,城市设施管理,9,9
39,"2022-05-02",交通运输,快递物流,43,47
40,"2022-05-02",交通运输,公共汽车,41,44
41,"2022-05-02",交通运输,公共自行车,17,19
42,"2022-05-02",交通运输,出租汽车,24,27
43,"2022-05-02",交通运输,城际客运,35,41
44,"2022-05-02",农林牧渔,农业管理,8,9
45,"2022-05-02",农林牧渔,林业管理,3,3
46,"2022-05-02",农林牧渔,渔业管理,13,15
47,"2022-05-02",农林牧渔,畜牧业管理,18,20
48,"2022-05-03",科教文体,科技事务,7,8
49,"2022-05-03",科教文体,教育管理,90,103
50,"2022-05-03",科教文体,文化管理,31,33
51,"2022-05-03",科教文体,体育管理,31,33
52,"2022-05-03",科教文体,社会教育,99,112
53,"2022-05-03",公卫医疗,人口计生,37,42
54,"2022-05-03",公卫医疗,卫生保健,26,30
55,"2022-05-03",公卫医疗,医疗服务,21,23
56,"2022-05-03",公卫医疗,公共卫生,33,34
57,"2022-05-03",公卫医疗,医药管理,2,2
58,"2022-05-03",城乡建设,住房公积金,2,2
59,"2022-05-03",城乡建设,房屋管理,4,5
60,"2022-05-03",城乡建设,市容市貌,10,11
61,"2022-05-03",城乡建设,城乡规划,6,7
62,"2022-05-03",城乡建设,城市设施管理,9,9
63,"2022-05-03",交通运输,快递物流,120,135
64,"2022-05-03",交通运输,公共汽车,99,105
65,"2022-05-03",交通运输,公共自行车,48,52
66,"2022-05-03",交通运输,出租汽车,47,48
67,"2022-05-03",交通运输,城际客运,87,93
68,"2022-05-03",农林牧渔,农业管理,14,16
69,"2022-05-03",农林牧渔,林业管理,5,5
70,"2022-05-03",农林牧渔,渔业管理,9,9
71,"2022-05-03",农林牧渔,畜牧业管理,12,13
72,"2022-05-04",科教文体,科技事务,12,13
73,"2022-05-04",科教文体,教育管理,2,2
74,"2022-05-04",科教文体,文化管理,4,5
75,"2022-05-04",科教文体,体育管理,5,6
76,"2022-05-04",科教文体,社会教育,8,8
77,"2022-05-04",公卫医疗,人口计生,66,69
78,"2022-05-04",公卫医疗,卫生保健,55,60
79,"2022-05-04",公卫医疗,医疗服务,4,5
80,"2022-05-04",公卫医疗,公共卫生,9,10
81,"2022-05-04",公卫医疗,医药管理,53,55
82,"2022-05-04",城乡建设,住房公积金,16,17
83,"2022-05-04",城乡建设,房屋管理,37,38
84,"2022-05-04",城乡建设,市容市貌,45,48
85,"2022-05-04",城乡建设,城乡规划,43,45
86,"2022-05-04",城乡建设,城市设施管理,44,49
87,"2022-05-04",交通运输,快递物流,131,134
88,"2022-05-04",交通运输,公共汽车,16,18
89,"2022-05-04",交通运输,公共自行车,13,15
90,"2022-05-04",交通运输,出租汽车,77,84
91,"2022-05-04",交通运输,城际客运,56,61
92,"2022-05-04",农林牧渔,农业管理,24,26
93,"2022-05-04",农林牧渔,林业管理,31,35
94,"2022-05-04",农林牧渔,渔业管理,3,3
95,"2022-05-04",农林牧渔,畜牧业管理,14,16
96,"2022-05-05",科教文体,科技事务,15,17
97,"2022-05-05",科教文体,教育管理,7,8
98,"2022-05-05",科教文体,文化管理,22,24
99,"2022-05-05",科教文体,体育管理,2,2
100,"2022-05-05",科教文体,社会教育,28,30
101,"2022-05-05",公卫医疗,人口计生,2,2
102,"2022-05-05",公卫医疗,卫生保健,29,33
103,"2022-05-05",公卫医疗,医疗服务,6,7
104,"2022-05-05",公卫医疗,公共卫生,40,43
105,"2022-05-05",公卫医疗,医药管理,33,38
106,"2022-05-05",城乡建设,住房公积金,19,20
107,"2022-05-05",城乡建设,房屋管理,6,7
108,"2022-05-05",城乡建设,市容市貌,7,8
109,"2022-05-05",城乡建设,城乡规划,15,16
110,"2022-05-05",城乡建设,城市设施管理,16,18
111,"2022-05-05",交通运输,快递物流,15,17
112,"2022-05-05",交通运输,公共汽车,2,2
113,"2022-05-05",交通运输,公共自行车,23,27
114,"2022-05-05",交通运输,出租汽车,32,36
115,"2022-05-05",交通运输,城际客运,12,12
116,"2022-05-05",农林牧渔,农业管理,63,73
117,"2022-05-05",农林牧渔,林业管理,39,44
118,"2022-05-05",农林牧渔,渔业管理,18,20
119,"2022-05-05",农林牧渔,畜牧业管理,41,48
120,"2022-05-06",科教文体,科技事务,29,31
121,"2022-05-06",科教文体,教育管理,69,74
122,"2022-05-06",科教文体,文化管理,65,75
123,"2022-05-06",科教文体,体育管理,57,58
124,"2022-05-06",科教文体,社会教育,19,21
125,"2022-05-06",公卫医疗,人口计生,0,0
126,"2022-05-06",公卫医疗,卫生保健,45,49
127,"2022-05-06",公卫医疗,医疗服务,80,84
128,"2022-05-06",公卫医疗,公共卫生,22,26
129,"2022-05-06",公卫医疗,医药管理,2,2
130,"2022-05-06",城乡建设,住房公积金,60,65
131,"2022-05-06",城乡建设,房屋管理,7,7
132,"2022-05-06",城乡建设,市容市貌,26,29
133,"2022-05-06",城乡建设,城乡规划,48,56
134,"2022-05-06",城乡建设,城市设施管理,4,4
135,"2022-05-06",交通运输,快递物流,2,2
136,"2022-05-06",交通运输,公共汽车,7,7
137,"2022-05-06",交通运输,公共自行车,11,13
138,"2022-05-06",交通运输,出租汽车,16,17
139,"2022-05-06",交通运输,城际客运,19,20
140,"2022-05-06",农林牧渔,农业管理,15,15
141,"2022-05-06",农林牧渔,林业管理,10,12
142,"2022-05-06",农林牧渔,渔业管理,2,2
143,"2022-05-06",农林牧渔,畜牧业管理,21,22
144,"2022-05-07",科教文体,科技事务,12,13
145,"2022-05-07",科教文体,教育管理,3,3
146,"2022-05-07",科教文体,文化管理,12,13
147,"2022-05-07",科教文体,体育管理,5,5
148,"2022-05-07",科教文体,社会教育,2,2
149,"2022-05-07",公卫医疗,人口计生,7,8
150,"2022-05-07",公卫医疗,卫生保健,51,55
151,"2022-05-07",公卫医疗,医疗服务,25,29
152,"2022-05-07",公卫医疗,公共卫生,33,34
153,"2022-05-07",公卫医疗,医药管理,23,25
154,"2022-05-07",城乡建设,住房公积金,52,58
155,"2022-05-07",城乡建设,房屋管理,38,39
156,"2022-05-07",城乡建设,市容市貌,62,65
157,"2022-05-07",城乡建设,城乡规划,30,34
158,"2022-05-07",城乡建设,城市设施管理,28,32
159,"2022-05-07",交通运输,快递物流,26,27
160,"2022-05-07",交通运输,公共汽车,108,114
161,"2022-05-07",交通运输,公共自行车,51,57
162,"2022-05-07",交通运输,出租汽车,13,15
163,"2022-05-07",交通运输,城际客运,71,83
164,"2022-05-07",农林牧渔,农业管理,78,80
165,"2022-05-07",农林牧渔,林业管理,7,7
166,"2022-05-07",农林牧渔,渔业管理,89,103
167,"2022-05-07",农林牧渔,畜牧业管理,80,92
168,"2022-05-08",科教文体,科技事务,31,36
169,"2022-05-08",科教文体,教育管理,38,40
170,"2022-05-08",科教文体,文化管理,32,35
171,"2022-05-08",科教文体,体育管理,32,37
172,"2022-05-08",科教文体,社会教育,33,39
173,"2022-05-08",公卫医疗,人口计生,19,20
174,"2022-05-08",公卫医疗,卫生保健,21,23
175,"2022-05-08",公卫医疗,医疗服务,15,17
176,"2022-05-08",公卫医疗,公共卫生,20,24
177,"2022-05-08",公卫医疗,医药管理,22,22
178,"2022-05-08",城乡建设,住房公积金,2,2
179,"2022-05-08",城乡建设,房屋管理,42,44
180,"2022-05-08",城乡建设,市容市貌,13,14
181,"2022-05-08",城乡建设,城乡规划,9,10
182,"2022-05-08",城乡建设,城市设施管理,59,65
183,"2022-05-08",交通运输,快递物流,34,37
184,"2022-05-08",交通运输,公共汽车,38,44
185,"2022-05-08",交通运输,公共自行车,13,14
186,"2022-05-08",交通运输,出租汽车,22,25
187,"2022-05-08",交通运输,城际客运,20,21
188,"2022-05-08",农林牧渔,农业管理,30,34
189,"2022-05-08",农林牧渔,林业管理,107,109
190,"2022-05-08",农林牧渔,渔业管理,37,39
191,"2022-05-08",农林牧渔,畜牧业管理,44,50
192,"2022-05-09",科教文体,科技事务,0,0
193,"2022-05-09",科教文体,教育管理,0,0
194,"2022-05-09",科教文体,文化管理,0,0
195,"2022-05-09",科教文体,体育管理,0,0
196,"2022-05-09",科教文体,社会教育,1,1
197,"2022-05-09",公卫医疗,人口计生,84,87
198,"2022-05-09",公卫医疗,卫生保健,60,69
199,"2022-05-09",公卫医疗,医疗服务,45,46
200,"2022-05-09",公卫医疗,公共卫生,99,110
201,"2022-05-09",公卫医疗,医药管理,30,33
202,"2022-05-09",城乡建设,住房公积金,6,7
203,"2022-05-09",城乡建设,房屋管理,7,8
204,"2022-05-09",城乡建设,市容市貌,5,5
205,"2022-05-09",城乡建设,城乡规划,5,6
206,"2022-05-09",城乡建设,城市设施管理,3,3
207,"2022-05-09",交通运输,快递物流,101,111
208,"2022-05-09",交通运输,公共汽车,46,51
209,"2022-05-09",交通运输,公共自行车,6,6
210,"2022-05-09",交通运输,出租汽车,25,26
211,"2022-05-09",交通运输,城际客运,33,34
212,"2022-05-09",农林牧渔,农业管理,2,2
213,"2022-05-09",农林牧渔,林业管理,2,2
214,"2022-05-09",农林牧渔,渔业管理,0,0
215,"2022-05-09",农林牧渔,畜牧业管理,1,1
216,"2022-05-10",科教文体,科技事务,8,8
217,"2022-05-10",科教文体,教育管理,3,3
218,"2022-05-10",科教文体,文化管理,6,6
219,"2022-05-10",科教文体,体育管理,3,3
220,"2022-05-10",科教文体,社会教育,9,11
221,"2022-05-10",公卫医疗,人口计生,13,14
222,"2022-05-10",公卫医疗,卫生保健,41,43
223,"2022-05-10",公卫医疗,医疗服务,49,51
224,"2022-05-10",公卫医疗,公共卫生,6,6
225,"2022-05-10",公卫医疗,医药管理,43,51
226,"2022-05-10",城乡建设,住房公积金,21,24
227,"2022-05-10",城乡建设,房屋管理,50,51
228,"2022-05-10",城乡建设,市容市貌,47,48
229,"2022-05-10",城乡建设,城乡规划,36,37
230,"2022-05-10",城乡建设,城市设施管理,1,1
231,"2022-05-10",交通运输,快递物流,0,0
232,"2022-05-10",交通运输,公共汽车,3,3
233,"2022-05-10",交通运输,公共自行车,2,2
234,"2022-05-10",交通运输,出租汽车,8,9
235,"2022-05-10",交通运输,城际客运,42,43
236,"2022-05-10",农林牧渔,农业管理,72,79
237,"2022-05-10",农林牧渔,林业管理,38,44
238,"2022-05-10",农林牧渔,渔业管理,41,46
239,"2022-05-10",农林牧渔,畜牧业管理,51,53
240,"2022-05-11",科教文体,科技事务,31,32
241,"2022-05-11",科教文体,教育管理,1,1
242,"2022-05-11",科教文体,文化管理,43,44
243,"2022-05-11",科教文体,体育管理,5,5
244,"2022-05-11",科教文体,社会教育,18,20
245,"2022-05-11",公卫医疗,人口计生,22,24
246,"2022-05-11",公卫医疗,卫生保健,72,82
247,"2022-05-11",公卫医疗,医疗服务,69,75
248,"2022-05-11",公卫医疗,公共卫生,0,0
