"md_id","busi_time","sub_name","type_name","type_cnt","finish_cnt","satisfaction_cnt","avg_handler_time"
0,"2022-05-01",科教文体,咨询,29,28,26,2.74
1,"2022-05-01",科教文体,投诉,35,34,33,13.35
2,"2022-05-01",科教文体,意见建议,9,9,8,15.03
3,"2022-05-01",科教文体,求助,31,30,30,28.85
4,"2022-05-01",科教文体,表扬,21,21,18,3.79
5,"2022-05-01",科教文体,举报,52,51,47,12.76
6,"2022-05-01",科教文体,无效,34,33,30,1.25
7,"2022-05-01",科教文体,其他,39,38,35,19.41
8,"2022-05-01",公卫医疗,咨询,7,7,6,5.66
9,"2022-05-01",公卫医疗,投诉,12,12,11,20.91
10,"2022-05-01",公卫医疗,意见建议,3,3,3,13.75
11,"2022-05-01",公卫医疗,求助,11,10,10,13.22
12,"2022-05-01",公卫医疗,表扬,11,11,10,3.49
13,"2022-05-01",公卫医疗,举报,14,13,13,39.28
14,"2022-05-01",公卫医疗,无效,7,7,7,0.66
15,"2022-05-01",公卫医疗,其他,8,8,7,12.11
16,"2022-05-01",城乡建设,咨询,32,31,28,4.61
17,"2022-05-01",城乡建设,投诉,56,54,50,17.66
18,"2022-05-01",城乡建设,意见建议,13,13,11,9.78
19,"2022-05-01",城乡建设,求助,63,61,58,10.63
20,"2022-05-01",城乡建设,表扬,6,6,6,1.7
21,"2022-05-01",城乡建设,举报,14,13,13,36.34
22,"2022-05-01",城乡建设,无效,26,25,25,1.3
23,"2022-05-01",城乡建设,其他,13,13,11,14.72
24,"2022-05-01",交通运输,咨询,29,28,25,4.55
25,"2022-05-01",交通运输,投诉,35,34,32,10.18
26,"2022-05-01",交通运输,意见建议,10,10,9,7.76
27,"2022-05-01",交通运输,求助,39,37,37,19.23
28,"2022-05-01",交通运输,表扬,30,29,28,2.5
29,"2022-05-01",交通运输,举报,31,30,30,34.26
30,"2022-05-01",交通运输,无效,29,28,26,1.7
31,"2022-05-01",交通运输,其他,-1,-1,-1,15.91
32,"2022-05-01",农林牧渔,咨询,19,18,18,4.86
33,"2022-05-01",农林牧渔,投诉,14,13,13,23.26
34,"2022-05-01",农林牧渔,意见建议,4,4,4,14.3
35,"2022-05-01",农林牧渔,求助,29,28,27,31.14
36,"2022-05-01",农林牧渔,表扬,11,11,10,3.78
37,"2022-05-01",农林牧渔,举报,34,33,33,39.37
38,"2022-05-01",农林牧渔,无效,12,11,11,1.93
39,"2022-05-01",农林牧渔,其他,16,16,14,4.33
40,"2022-05-02",科教文体,咨询,3,3,3,3.56
41,"2022-05-02",科教文体,投诉,1,1,1,15.68
42,"2022-05-02",科教文体,意见建议,3,3,3,12.34
43,"2022-05-02",科教文体,求助,8,8,7,16.54
44,"2022-05-02",科教文体,表扬,17,16,15,1.21
45,"2022-05-02",科教文体,举报,11,10,11,16.81
46,"2022-05-02",科教文体,无效,26,25,24,1.43
47,"2022-05-02",科教文体,其他,5,5,4,11.72
48,"2022-05-02",公卫医疗,咨询,16,15,14,2.63
49,"2022-05-02",公卫医疗,投诉,31,30,27,20.29
50,"2022-05-02",公卫医疗,意见建议,45,43,42,15.65
51,"2022-05-02",公卫医疗,求助,12,12,11,18.05
52,"2022-05-02",公卫医疗,表扬,40,39,35,3.01
53,"2022-05-02",公卫医疗,举报,27,26,25,27.03
54,"2022-05-02",公卫医疗,无效,45,44,39,1.02
55,"2022-05-02",公卫医疗,其他,20,19,17,8.34
56,"2022-05-02",城乡建设,咨询,29,28,27,5.97
57,"2022-05-02",城乡建设,投诉,46,44,41,23.26
58,"2022-05-02",城乡建设,意见建议,14,13,12,8.18
59,"2022-05-02",城乡建设,求助,7,7,6,10.57
60,"2022-05-02",城乡建设,表扬,17,16,16,1.08
61,"2022-05-02",城乡建设,举报,10,10,10,40.58
62,"2022-05-02",城乡建设,无效,2,2,2,1.43
63,"2022-05-02",城乡建设,其他,31,30,28,14.7
64,"2022-05-02",交通运输,咨询,16,15,14,4.89
65,"2022-05-02",交通运输,投诉,24,23,23,11.43
66,"2022-05-02",交通运输,意见建议,10,10,9,6.16
67,"2022-05-02",交通运输,求助,9,9,8,16.18
68,"2022-05-02",交通运输,表扬,43,41,40,3.78
69,"2022-05-02",交通运输,举报,49,47,46,37.67
70,"2022-05-02",交通运输,无效,3,3,3,0.91
71,"2022-05-02",交通运输,其他,24,23,22,7.7
72,"2022-05-02",农林牧渔,咨询,10,10,9,5.31
73,"2022-05-02",农林牧渔,投诉,3,3,3,22.98
74,"2022-05-02",农林牧渔,意见建议,1,1,1,10.49
75,"2022-05-02",农林牧渔,求助,6,6,6,15.89
76,"2022-05-02",农林牧渔,表扬,10,10,9,3.53
77,"2022-05-02",农林牧渔,举报,1,1,1,12.4
78,"2022-05-02",农林牧渔,无效,10,10,9,1.77
79,"2022-05-02",农林牧渔,其他,6,6,5,5.59
80,"2022-05-03",科教文体,咨询,62,59,54,4.75
81,"2022-05-03",科教文体,投诉,54,51,51,11.4
82,"2022-05-03",科教文体,意见建议,62,59,53,7.87
83,"2022-05-03",科教文体,求助,32,30,30,30.23
84,"2022-05-03",科教文体,表扬,2,2,2,1.51
85,"2022-05-03",科教文体,举报,28,27,24,25.02
86,"2022-05-03",科教文体,无效,12,12,11,1.74
87,"2022-05-03",科教文体,其他,37,36,35,18.44
88,"2022-05-03",公卫医疗,咨询,5,5,4,5.76
89,"2022-05-03",公卫医疗,投诉,18,18,16,15.33
90,"2022-05-03",公卫医疗,意见建议,26,25,24,14.76
91,"2022-05-03",公卫医疗,求助,30,29,29,33.25
92,"2022-05-03",公卫医疗,表扬,2,2,2,1.31
93,"2022-05-03",公卫医疗,举报,4,4,4,29.09
94,"2022-05-03",公卫医疗,无效,30,29,29,1.55
95,"2022-05-03",公卫医疗,其他,16,15,15,17.58
96,"2022-05-03",城乡建设,咨询,9,9,8,4.4
97,"2022-05-03",城乡建设,投诉,2,2,2,19.74
98,"2022-05-03",城乡建设,意见建议,1,1,1,13.99
99,"2022-05-03",城乡建设,求助,7,7,6,28.85
100,"2022-05-03",城乡建设,表扬,4,4,3,2.33
101,"2022-05-03",城乡建设,举报,8,8,7,24.33
102,"2022-05-03",城乡建设,无效,1,1,1,0.99
103,"2022-05-03",城乡建设,其他,2,2,2,12.32
104,"2022-05-03",交通运输,咨询,9,9,9,5.54
105,"2022-05-03",交通运输,投诉,6,6,6,9.83
106,"2022-05-03",交通运输,意见建议,100,98,96,13.21
107,"2022-05-03",交通运输,求助,96,94,85,19.27
108,"2022-05-03",交通运输,表扬,88,85,82,2.29
109,"2022-05-03",交通运输,举报,13,12,12,41.55
110,"2022-05-03",交通运输,无效,48,47,41,1.64
111,"2022-05-03",交通运输,其他,73,70,64,14.14
112,"2022-05-03",农林牧渔,咨询,6,6,5,5.86
113,"2022-05-03",农林牧渔,投诉,9,9,8,11.55
114,"2022-05-03",农林牧渔,意见建议,3,3,3,15.46
115,"2022-05-03",农林牧渔,求助,8,8,7,21.05
116,"2022-05-03",农林牧渔,表扬,5,5,4,2.4
117,"2022-05-03",农林牧渔,举报,9,9,8,25.09
118,"2022-05-03",农林牧渔,无效,1,1,1,1.51
119,"2022-05-03",农林牧渔,其他,2,2,2,13.89
120,"2022-05-04",科教文体,咨询,1,1,1,3.99
121,"2022-05-04",科教文体,投诉,8,8,8,8.08
122,"2022-05-04",科教文体,意见建议,5,5,5,8.27
123,"2022-05-04",科教文体,求助,8,8,8,22.8
124,"2022-05-04",科教文体,表扬,3,3,3,1.31
125,"2022-05-04",科教文体,举报,3,3,3,43.99
126,"2022-05-04",科教文体,无效,1,1,1,1.57
127,"2022-05-04",科教文体,其他,5,5,5,8.02
128,"2022-05-04",公卫医疗,咨询,38,37,37,2.98
129,"2022-05-04",公卫医疗,投诉,10,10,9,21.51
130,"2022-05-04",公卫医疗,意见建议,24,23,22,14.03
131,"2022-05-04",公卫医疗,求助,23,22,21,15.21
132,"2022-05-04",公卫医疗,表扬,6,6,6,1.78
133,"2022-05-04",公卫医疗,举报,30,29,27,17.86
134,"2022-05-04",公卫医疗,无效,39,38,37,1.48
135,"2022-05-04",公卫医疗,其他,29,28,26,15.58
136,"2022-05-04",城乡建设,咨询,55,52,50,4.65
137,"2022-05-04",城乡建设,投诉,1,1,1,11.57
138,"2022-05-04",城乡建设,意见建议,1,1,1,9.65
139,"2022-05-04",城乡建设,求助,50,48,47,20.02
140,"2022-05-04",城乡建设,表扬,28,27,26,2.57
141,"2022-05-04",城乡建设,举报,2,2,2,29.94
142,"2022-05-04",城乡建设,无效,6,6,5,1.22
143,"2022-05-04",城乡建设,其他,54,52,49,6.21
144,"2022-05-04",交通运输,咨询,47,46,40,2.26
145,"2022-05-04",交通运输,投诉,62,61,53,12.28
146,"2022-05-04",交通运输,意见建议,53,51,49,6.04
147,"2022-05-04",交通运输,求助,13,13,11,22.76
148,"2022-05-04",交通运输,表扬,54,51,49,1.12
149,"2022-05-04",交通运输,举报,49,48,42,12.15
150,"2022-05-04",交通运输,无效,18,18,16,1.96
151,"2022-05-04",交通运输,其他,16,16,15,11.46
152,"2022-05-04",农林牧渔,咨询,7,7,6,2.2
153,"2022-05-04",农林牧渔,投诉,13,13,12,14.19
154,"2022-05-04",农林牧渔,意见建议,15,15,14,10.5
155,"2022-05-04",农林牧渔,求助,4,4,4,21.25
156,"2022-05-04",农林牧渔,表扬,14,14,13,3.15
157,"2022-05-04",农林牧渔,举报,17,16,16,24.67
158,"2022-05-04",农林牧渔,无效,8,8,7,1.61
159,"2022-05-04",农林牧渔,其他,2,2,2,18.15
160,"2022-05-05",科教文体,咨询,13,12,11,4.49
161,"2022-05-05",科教文体,投诉,9,9,8,22.96
162,"2022-05-05",科教文体,意见建议,15,15,14,15.0
163,"2022-05-05",科教文体,求助,2,2,2,13.24
164,"2022-05-05",科教文体,表扬,11,11,9,3.91
165,"2022-05-05",科教文体,举报,1,1,1,14.65
166,"2022-05-05",科教文体,无效,18,17,17,0.93
167,"2022-05-05",科教文体,其他,12,12,11,4.97
168,"2022-05-05",公卫医疗,咨询,5,5,5,4.91
169,"2022-05-05",公卫医疗,投诉,20,19,19,18.28
170,"2022-05-05",公卫医疗,意见建议,5,5,5,12.31
171,"2022-05-05",公卫医疗,求助,23,22,22,34.65
172,"2022-05-05",公卫医疗,表扬,16,16,15,1.16
173,"2022-05-05",公卫医疗,举报,10,10,10,13.87
174,"2022-05-05",公卫医疗,无效,23,22,22,1.87
175,"2022-05-05",公卫医疗,其他,21,20,19,4.9
176,"2022-05-05",城乡建设,咨询,1,1,1,5.31
177,"2022-05-05",城乡建设,投诉,6,6,6,13.3
178,"2022-05-05",城乡建设,意见建议,15,14,14,10.77
179,"2022-05-05",城乡建设,求助,7,7,6,25.96
180,"2022-05-05",城乡建设,表扬,5,5,4,1.04
181,"2022-05-05",城乡建设,举报,16,15,15,30.38
182,"2022-05-05",城乡建设,无效,5,5,4,0.87
183,"2022-05-05",城乡建设,其他,14,14,13,17.61
184,"2022-05-05",交通运输,咨询,1,1,1,5.29
185,"2022-05-05",交通运输,投诉,4,4,4,18.59
186,"2022-05-05",交通运输,意见建议,12,11,11,17.81
187,"2022-05-05",交通运输,求助,25,24,24,34.24
188,"2022-05-05",交通运输,表扬,21,20,18,3.41
189,"2022-05-05",交通运输,举报,9,9,8,27.92
190,"2022-05-05",交通运输,无效,20,20,17,1.7
191,"2022-05-05",交通运输,其他,2,2,2,16.42
192,"2022-05-05",农林牧渔,咨询,4,4,4,4.71
193,"2022-05-05",农林牧渔,投诉,11,11,10,16.55
194,"2022-05-05",农林牧渔,意见建议,6,6,5,16.91
195,"2022-05-05",农林牧渔,求助,43,42,38,15.69
196,"2022-05-05",农林牧渔,表扬,24,23,23,3.62
197,"2022-05-05",农林牧渔,举报,44,43,39,29.55
198,"2022-05-05",农林牧渔,无效,26,25,22,1.63
199,"2022-05-05",农林牧渔,其他,27,26,25,8.69
200,"2022-05-06",科教文体,咨询,56,53,52,5.51
201,"2022-05-06",科教文体,投诉,12,12,11,13.03
202,"2022-05-06",科教文体,意见建议,17,16,16,15.29
203,"2022-05-06",科教文体,求助,0,0,0,31.3
204,"2022-05-06",科教文体,表扬,64,62,60,1.03
205,"2022-05-06",科教文体,举报,25,24,23,33.64
206,"2022-05-06",科教文体,无效,32,31,29,0.98
207,"2022-05-06",科教文体,其他,53,51,48,5.26
208,"2022-05-06",公卫医疗,咨询,15,14,13,4.31
209,"2022-05-06",公卫医疗,投诉,44,42,38,10.77
210,"2022-05-06",公卫医疗,意见建议,1,1,1,7.78
211,"2022-05-06",公卫医疗,求助,12,11,10,13.43
212,"2022-05-06",公卫医疗,表扬,0,0,0,1.57
213,"2022-05-06",公卫医疗,举报,40,39,37,19.29
214,"2022-05-06",公卫医疗,无效,24,23,22,1.01
215,"2022-05-06",公卫医疗,其他,25,24,22,18.54
216,"2022-05-06",城乡建设,咨询,0,0,0,5.6
217,"2022-05-06",城乡建设,投诉,36,35,35,14.12
218,"2022-05-06",城乡建设,意见建议,11,11,10,8.68
219,"2022-05-06",城乡建设,求助,5,5,5,34.34
220,"2022-05-06",城乡建设,表扬,34,33,32,1.35
221,"2022-05-06",城乡建设,举报,2,2,2,38.32
222,"2022-05-06",城乡建设,无效,37,35,33,1.24
223,"2022-05-06",城乡建设,其他,36,35,32,5.83
224,"2022-05-06",交通运输,咨询,7,7,7,5.18
225,"2022-05-06",交通运输,投诉,5,5,5,20.04
226,"2022-05-06",交通运输,意见建议,1,1,1,12.9
227,"2022-05-06",交通运输,求助,5,5,5,17.12
228,"2022-05-06",交通运输,表扬,10,10,9,1.3
229,"2022-05-06",交通运输,举报,10,10,9,43.21
230,"2022-05-06",交通运输,无效,10,10,9,0.79
231,"2022-05-06",交通运输,其他,11,11,10,11.96
232,"2022-05-06",农林牧渔,咨询,11,10,10,4.32
233,"2022-05-06",农林牧渔,投诉,3,3,3,19.09
234,"2022-05-06",农林牧渔,意见建议,0,0,0,6.24
235,"2022-05-06",农林牧渔,求助,5,5,5,29.9
236,"2022-05-06",农林牧渔,表扬,5,5,5,1.69
