"md_id","busi_time","sub_name","red_cnt","yellow_cnt"
1,"2022-05-01",科教文体,99,80
2,"2022-05-01",公卫医疗,33,17
3,"2022-05-01",城乡建设,133,56
4,"2022-05-01",交通运输,105,45
5,"2022-05-01",农林牧渔,37,3
6,"2022-05-02",科教文体,3,19
7,"2022-05-02",公卫医疗,206,28
8,"2022-05-02",城乡建设,30,26
9,"2022-05-02",交通运输,98,28
10,"2022-05-02",农林牧渔,17,2
11,"2022-05-03",科教文体,247,41
12,"2022-05-03",公卫医疗,21,13
13,"2022-05-03",城乡建设,7,13
14,"2022-05-03",交通运输,385,4
15,"2022-05-03",农林牧渔,29,9
16,"2022-05-04",科教文体,27,1
17,"2022-05-04",公卫医疗,116,75
18,"2022-05-04",城乡建设,119,43
19,"2022-05-04",交通运输,229,40
20,"2022-05-04",农林牧渔,60,18
21,"2022-05-05",科教文体,15,7
22,"2022-05-05",公卫医疗,7,115
23,"2022-05-05",城乡建设,4,45
24,"2022-05-05",交通运输,43,20
25,"2022-05-05",农林牧渔,39,93
26,"2022-05-06",科教文体,16,192
27,"2022-05-06",公卫医疗,80,74
28,"2022-05-06",城乡建设,132,11
29,"2022-05-06",交通运输,21,12
30,"2022-05-06",农林牧渔,25,8
31,"2022-05-07",科教文体,14,4
32,"2022-05-07",公卫医疗,149,1
33,"2022-05-07",城乡建设,119,4
34,"2022-05-07",交通运输,207,57
35,"2022-05-07",农林牧渔,47,67
36,"2022-05-08",科教文体,136,48
37,"2022-05-08",公卫医疗,40,42
38,"2022-05-08",城乡建设,52,49
39,"2022-05-08",交通运输,51,78
40,"2022-05-08",农林牧渔,55,69
41,"2022-05-09",科教文体,0,0
42,"2022-05-09",公卫医疗,274,24
43,"2022-05-09",城乡建设,3,20
44,"2022-05-09",交通运输,187,9
45,"2022-05-09",农林牧渔,3,1
46,"2022-05-10",科教文体,19,5
47,"2022-05-10",公卫医疗,95,21
48,"2022-05-10",城乡建设,121,18
49,"2022-05-10",交通运输,8,22
50,"2022-05-10",农林牧渔,147,28
51,"2022-05-11",科教文体,43,44
52,"2022-05-11",公卫医疗,91,70
53,"2022-05-11",城乡建设,112,31
54,"2022-05-11",交通运输,52,32
55,"2022-05-11",农林牧渔,4,35
56,"2022-05-12",科教文体,6,72
57,"2022-05-12",公卫医疗,103,43
58,"2022-05-12",城乡建设,86,32
59,"2022-05-12",交通运输,110,19
60,"2022-05-12",农林牧渔,75,59
61,"2022-05-13",科教文体,5,27
62,"2022-05-13",公卫医疗,92,12
63,"2022-05-13",城乡建设,0,15
