region_name,total_orders,"ROUND(online_channel_cnt*100.0/total_orders, 2)","ROUND(phone_channel_cnt*100.0/total_orders, 2)","ROUND(email_channel_cnt*100.0/total_orders, 2)","ROUND(mobile_app_cnt*100.0/total_orders, 2)"
B市,989,20.53,29.42,43.17,6.88
A1镇,981,35.58,3.67,4.89,55.86
A1镇,973,0.21,4.32,34.94,60.53
B市,964,27.18,33.09,16.49,23.24
B1镇,962,30.56,28.59,23.28,17.57
B县,942,13.59,25.48,28.45,32.48
B1镇,938,13.75,10.77,35.07,40.41
A县,936,16.13,8.55,38.78,36.54
A1镇,934,10.81,12.63,63.7,12.85
A县,931,24.38,22.77,24.17,28.68
B市,923,28.17,9.43,20.15,42.25
B县,922,5.64,25.38,33.73,35.25
A县,917,33.91,8.83,34.35,22.9
B县,907,29.66,18.63,17.31,34.4
B县,894,44.18,29.87,5.82,20.13
A县,891,36.36,36.48,7.63,19.53
A县,872,2.87,4.01,44.38,48.74
A市,871,13.66,25.37,44.78,16.19
A市,865,22.77,32.25,6.59,38.38
A市,864,12.5,40.51,27.43,19.56
A县,863,8.81,20.28,38.7,32.21
B县,852,46.01,27.46,23.47,3.05
A县,844,39.93,6.99,43.84,9.24
A1镇,839,28.84,31.7,28.25,11.2
B1镇,832,2.4,29.45,45.67,22.48
A1镇,826,22.52,23.37,26.15,27.97
B1镇,826,1.45,33.66,61.5,3.39
A1镇,818,30.2,25.92,29.58,14.3
B1镇,816,16.3,10.42,33.95,39.34
A1镇,816,14.58,0.98,60.66,23.77
B市,814,31.33,11.18,34.64,22.85
B县,809,28.8,9.64,46.48,15.08
A县,809,20.4,26.95,25.09,27.56
B1镇,806,42.06,2.11,31.64,24.19
A1镇,798,24.81,7.39,15.91,51.88
B县,798,27.69,14.54,3.76,54.01
B市,793,8.7,40.23,12.36,38.71
A县,792,23.23,27.78,31.94,17.05
B1镇,788,48.22,16.62,7.74,27.41
A县,776,17.65,28.09,16.49,37.76
A县,774,35.14,2.07,36.56,26.23
A市,769,40.57,12.61,16.12,30.69
B市,769,29.52,3.12,35.37,31.99
B县,767,29.2,25.95,17.99,26.86
A市,749,9.48,16.69,38.72,35.11
A1镇,742,45.82,19.14,0.27,34.77
B市,736,13.04,49.32,23.91,13.72
A市,708,14.41,37.71,28.67,19.21
B县,708,53.67,18.36,23.87,4.1
A1镇,706,17.42,18.27,53.4,10.91
A市,704,77.84,10.51,2.56,9.09
A1镇,702,40.74,22.51,12.68,24.07
A县,699,33.19,34.05,26.18,6.58
B市,698,44.41,3.01,43.27,9.31
B县,691,19.68,31.55,2.17,46.6
A县,681,16.3,33.77,34.95,14.98
B县,674,44.96,13.06,37.98,4.01
A县,671,34.87,15.2,18.93,31.0
B1镇,668,24.55,21.71,32.93,20.81
B市,664,22.74,38.25,5.27,33.73
B市,661,19.52,65.81,9.98,4.69
A市,654,48.47,11.77,26.15,13.61
B1镇,650,1.23,29.69,39.08,30.0
B市,650,42.77,42.77,6.0,8.46
A市,648,20.22,54.78,0.93,24.07
A1镇,648,25.46,18.67,28.86,27.01
B县,640,15.47,23.59,33.59,27.34
B1镇,636,10.22,47.64,11.95,30.19
B1镇,635,41.26,1.73,42.83,14.17
A市,634,20.5,26.34,23.5,29.65
A1镇,633,26.86,2.53,33.49,37.12
A市,633,45.81,15.64,6.48,32.07
A市,631,19.81,13.47,22.35,44.37
A县,628,23.73,8.12,24.52,43.63
B市,616,33.12,24.03,22.89,19.97
A县,611,31.59,37.48,14.73,16.2
A市,608,25.16,10.36,32.57,31.91
B1镇,607,31.3,3.46,53.21,12.03
B市,607,28.5,12.85,38.39,20.26
A县,606,44.72,9.08,13.04,33.17
A市,604,1.99,10.93,12.42,74.67
A市,602,34.72,33.06,3.16,29.07
B县,582,0.69,23.71,38.14,37.46
B县,577,5.03,4.51,71.4,19.06
B市,577,71.4,10.92,4.51,13.17
A市,575,17.91,3.48,49.22,29.39
A市,574,18.99,18.99,30.49,31.53
B市,567,33.51,38.45,3.53,24.51
B市,562,34.34,3.74,19.4,42.53
A县,556,44.06,32.19,20.32,3.42
B县,556,37.05,37.05,7.37,18.53
A1镇,541,8.5,32.9,27.91,30.68
A1镇,540,30.93,2.96,36.67,29.44
B市,525,39.81,9.14,10.48,40.57
B县,524,32.82,8.21,28.63,30.34
B县,522,19.73,12.64,46.55,21.07
B1镇,511,33.46,14.29,29.75,22.5
A市,496,24.6,3.02,41.94,30.44
B1镇,482,13.9,32.99,9.13,43.98
A市,480,30.42,34.38,11.67,23.54
B县,477,5.03,15.09,28.72,51.15
A市,470,17.66,29.15,5.96,47.23
B1镇,469,41.15,32.62,13.65,12.58
A1镇,453,15.01,29.8,30.02,25.17
B1镇,450,23.11,24.44,31.11,21.33
B1镇,450,10.67,22.22,25.11,42.0
B市,449,22.94,28.51,7.13,41.43
A市,443,20.09,15.58,31.38,32.96
A1镇,432,15.97,36.11,22.69,25.23
A县,430,35.81,26.28,13.02,24.88
B县,420,4.05,19.76,43.33,32.86
B县,419,26.49,26.25,21.24,26.01
B1镇,408,25.74,25.49,28.19,20.59
B市,407,16.71,50.61,11.55,21.13
A1镇,404,3.22,34.41,32.92,29.46
B市,398,26.88,13.57,21.11,38.44
B市,395,58.48,3.04,37.97,0.51
B1镇,393,15.01,17.56,23.66,43.77
B1镇,392,34.95,20.41,13.78,30.87
A县,391,44.76,1.53,42.71,11.0
B1镇,383,13.84,28.98,23.76,33.42
A市,383,9.92,1.57,35.25,53.26
A县,381,28.35,24.93,5.51,41.21
A市,376,6.65,6.38,25.53,61.44
A1镇,375,27.73,41.87,10.4,20.0
A市,372,25.54,14.25,19.62,40.59
A1镇,372,28.76,18.82,16.94,35.48
A1镇,365,15.07,31.78,5.48,47.67
B县,365,36.99,36.44,25.75,0.82
A县,362,24.86,35.36,25.14,14.64
B县,342,20.76,14.91,32.46,31.87
B1镇,339,8.55,2.06,55.46,33.92
B市,336,1.79,47.92,9.82,40.48
A市,331,23.87,39.88,25.38,10.88
A市,328,41.77,18.6,11.89,27.74
B1镇,325,11.69,25.23,20.0,43.08
A市,304,43.09,10.86,32.57,13.49
B县,296,43.24,21.28,20.61,14.86
A县,281,0.0,18.51,45.2,36.3
B县,280,45.71,17.86,32.14,4.29
B市,279,20.07,43.73,15.41,20.79
B1镇,277,11.91,14.44,25.99,47.65
A市,277,26.35,6.14,49.82,17.69
A县,266,5.26,41.73,42.11,10.9
B1镇,266,2.63,37.59,33.08,26.69
B1镇,252,18.65,32.54,13.89,34.92
A1镇,247,29.55,29.15,24.7,16.6
B1镇,242,33.47,0.0,40.91,25.62
A1镇,242,43.8,52.48,2.07,1.65
B市,239,32.22,29.29,5.02,33.47
A县,238,12.61,21.43,39.5,26.47
B县,234,21.37,3.85,7.69,67.09
B县,228,25.0,17.98,38.6,18.42
A市,226,38.5,36.28,6.64,18.58
A市,222,35.14,36.94,8.56,19.37
A县,222,13.51,18.47,39.64,28.38
B1镇,220,22.73,15.0,41.36,20.91
A1镇,218,24.77,37.16,35.78,2.29
B市,213,40.85,17.84,34.27,7.04
A县,209,26.79,46.89,19.62,6.7
B县,208,29.81,46.15,8.65,15.38
A1镇,208,5.29,42.31,48.08,4.33
A1镇,203,41.38,33.0,4.43,21.18
A1镇,202,20.79,32.67,30.69,15.84
A市,200,43.5,7.5,37.5,11.5
B市,200,81.5,1.0,17.5,0.0
B1镇,198,11.11,1.52,61.11,26.26
B市,197,31.47,30.96,20.3,17.26
B县,183,22.95,42.08,18.03,16.94
A1镇,180,12.22,18.33,54.44,15.0
A1镇,179,25.7,16.76,17.88,39.66
B县,173,24.86,27.17,28.9,19.08
B市,161,37.27,19.25,14.29,29.19
A县,159,30.82,32.08,0.63,36.48
B市,158,21.52,32.91,44.94,0.63
