busi_time,reply_on_time_rate
2023-12-19,94.17
2023-12-23,86.99
2023-12-29,86.53
2023-12-10,80.56
2023-12-21,80.38
2023-12-05,73.88
2023-12-20,73.36
2023-12-15,68.92
2023-12-28,61.73
2023-12-17,61.73
2023-12-27,52.02
2023-12-12,50.43
2023-12-03,45.05
2023-12-04,43.42
2023-12-02,41.79
2023-12-16,41.53
2023-12-09,40.83
2023-12-07,40.66
2023-12-24,37.04
2023-12-13,30.79
2023-12-31,28.81
2023-12-30,25.71
2023-12-01,25.29
2023-12-14,18.49
2023-12-06,17.82
2023-12-25,15.27
2023-12-11,14.88
2023-12-08,13.14
2023-12-26,10.24
2023-12-18,6.15
2023-12-22,3.5
