region_name,current_date,previous_orders,current_orders,growth_rate
B市,2022-08-17,145,836,476.55
B市,2022-08-02,158,793,401.9
A市,2022-08-14,259,923,256.37
B市,2022-08-14,301,885,194.02
A市,2022-08-09,341,961,181.82
A市,2022-08-24,145,404,178.62
B市,2022-08-07,198,445,124.75
B市,2022-08-04,327,727,122.32
A市,2022-08-20,188,400,112.77
B市,2022-08-31,217,455,109.68
A市,2022-08-25,404,846,109.41
B市,2022-08-08,445,888,99.55
A市,2022-08-30,418,833,99.28
B市,2022-08-22,347,682,96.54
B市,2022-08-29,497,807,62.37
B市,2022-08-27,220,346,57.27
A市,2022-08-07,653,977,49.62
B市,2022-08-12,337,499,48.07
A市,2022-08-21,400,591,47.75
A市,2022-08-11,505,742,46.93
B市,2022-08-28,346,497,43.64
B市,2022-08-25,166,232,39.76
A市,2022-08-04,447,608,36.02
A市,2022-08-29,314,418,33.12
B市,2022-08-05,727,967,33.01
A市,2022-08-17,494,615,24.49
A市,2022-08-03,364,447,22.8
