busi_date,dept_name,rollback_rate
2023-03-01,承办复核部A,17.92
2023-03-02,热线审核中心,18.75
2023-03-03,结案一部,19.69
2023-03-04,客户回访三组,19.46
2023-03-05,客户回访二组,19.44
2023-03-06,客服二部,18.97
2023-03-07,结案二部,19.61
2023-03-08,客户回访二组,17.5
2023-03-09,业务一科,19.75
2023-03-10,客服二部,19.82
2023-03-11,结案一部,18.91
2023-03-12,客户回访一组,19.86
2023-03-13,业务二科,18.52
2023-03-14,客户回访一组,19.33
2023-03-15,客户回访一组,19.21
2023-03-16,异常工单组,19.32
2023-03-17,档案管理部,18.78
2023-03-18,客服二部,18.31
2023-03-19,结案二部,18.02
2023-03-20,异常工单组,19.78
2023-03-21,热线审核中心,15.91
2023-03-22,客服二部,20.0
2023-03-23,客户回访二组,18.46
2023-03-24,业务一科,20.0
2023-03-25,热线复核中心,17.62
2023-03-26,业务二科,19.7
2023-03-27,客户回访二组,19.61
2023-03-28,客户回访三组,16.32
2023-03-29,客户回访三组,20.0
2023-03-30,结案一部,19.7
2023-03-31,档案管理部,18.32
