region_name,busi_date
A市,2023-12-01
A县,2023-12-01
B县,2023-12-01
B1镇,2023-12-01
B市,2023-12-03
A1镇,2023-12-03
A市,2023-12-04
B市,2023-12-04
A县,2023-12-04
A1镇,2023-12-04
B县,2023-12-05
A1镇,2023-12-05
B县,2023-12-06
A市,2023-12-07
B市,2023-12-07
A市,2023-12-08
B1镇,2023-12-09
A县,2023-12-11
A市,2023-12-12
A县,2023-12-12
B县,2023-12-12
B市,2023-12-14
A县,2023-12-14
B县,2023-12-14
B市,2023-12-16
B1镇,2023-12-16
A县,2023-12-17
A1镇,2023-12-17
B1镇,2023-12-19
B市,2023-12-20
A县,2023-12-20
B县,2023-12-20
B市,2023-12-21
A县,2023-12-22
B县,2023-12-22
A市,2023-12-23
B县,2023-12-25
B1镇,2023-12-25
B1镇,2023-12-27
B1镇,2023-12-28
B市,2023-12-29
A县,2023-12-29
A市,2023-12-30
B县,2023-12-30
B1镇,2023-12-30
