日期,处理阶段,逾期量,严重逾期率
2022-11-02,已回访,60,15.44
2022-11-03,待归档,54,26.42
2022-11-04,待归档,53,27.12
2022-11-04,已回访,72,24.71
2022-11-04,受理中,90,16.16
2022-11-06,办理中,77,33.71
2022-11-07,待归档,71,18.37
2022-11-09,审核中,86,20.21
2022-11-10,审核中,90,16.41
2022-11-10,办理中,73,15.87
2022-11-11,已回访,83,19.66
2022-11-13,已回访,68,20.13
2022-11-14,待归档,59,15.12
2022-11-15,受理中,56,22.16
2022-11-16,审核中,56,26.39
2022-11-17,待归档,68,22.75
2022-11-17,已回访,80,19.05
2022-11-18,受理中,73,27.12
2022-11-19,审核中,61,21.48
2022-11-20,办理中,61,14.52
2022-11-21,办理中,65,33.54
2022-11-22,办理中,71,25.0
2022-11-23,受理中,62,16.2
2022-11-24,待归档,66,28.8
2022-11-26,审核中,79,33.33
2022-11-28,已回访,52,15.1
2022-11-29,审核中,54,18.79
