月份,诉求来源,工单数量,名次
2022-10,小程序/公众号,2127,1
2022-10,网站,910,2
2022-10,来信,780,3
2022-10,电话,450,4
2022-11,小程序/公众号,1853,1
2022-11,网站,774,2
2022-11,电话,707,3
2022-11,来信,655,4
2022-12,小程序/公众号,2041,1
2022-12,网站,619,2
2022-12,电话,580,3
2022-12,来信,394,4
2023-01,小程序/公众号,2340,1
2023-01,网站,739,2
2023-01,来信,504,3
2023-01,电话,499,4
2023-02,小程序/公众号,2234,1
2023-02,网站,777,2
2023-02,来信,621,3
2023-02,电话,592,4
2023-03,小程序/公众号,1473,1
2023-03,网站,723,2
2023-03,来信,627,3
2023-03,电话,571,4
2023-04,小程序/公众号,1893,1
2023-04,网站,1072,2
2023-04,来信,615,3
2023-04,电话,479,4
2023-05,小程序/公众号,2069,1
2023-05,来信,664,2
2023-05,网站,580,3
2023-05,电话,566,4
2023-06,小程序/公众号,2008,1
2023-06,网站,772,2
2023-06,来信,714,3
2023-06,电话,603,4
2023-07,小程序/公众号,2128,1
2023-07,网站,877,2
2023-07,电话,602,3
2023-07,来信,542,4
2023-08,小程序/公众号,2079,1
2023-08,网站,805,2
2023-08,来信,484,3
2023-08,电话,446,4
2023-09,小程序/公众号,2327,1
2023-09,网站,782,2
2023-09,来信,650,3
2023-09,电话,351,4
2023-10,小程序/公众号,2345,1
2023-10,网站,798,2
2023-10,来信,682,3
2023-10,电话,680,4
2023-11,小程序/公众号,2249,1
2023-11,网站,891,2
2023-11,电话,594,3
2023-11,来信,552,4
2023-12,小程序/公众号,2536,1
2023-12,网站,693,2
2023-12,来信,650,3
2023-12,电话,499,4
2024-01,小程序/公众号,2207,1
2024-01,网站,799,2
2024-01,来信,649,3
2024-01,电话,535,4
2024-02,小程序/公众号,1956,1
2024-02,网站,715,2
2024-02,来信,510,3
2024-02,电话,481,4
2024-03,小程序/公众号,2277,1
2024-03,网站,828,2
2024-03,来信,598,3
2024-03,电话,560,4
2024-04,小程序/公众号,2081,1
2024-04,网站,827,2
2024-04,来信,567,3
2024-04,电话,564,4
2024-05,小程序/公众号,2304,1
2024-05,网站,815,2
2024-05,电话,650,3
2024-05,来信,629,4
